id_of_tweet,cleaned_text,sentiment
60,Meet the former PLO spokeswoman now working at the Department of Homeland Security assessing asylum claims. Her response to Hamas terrorism Fuck Israel the government and its military. Are you ready for your downfall? And she's still employed.,1
61,BREAKING ABC News reports that Israel's Economy Minister says hostages and civilian casualties will be secondary to the priority of destroying Hamas adding that its tunnel network will become the 'worlds biggest cemetery'.,-1
65,zionists are constantly posting about how alone they feelno one cares about israeleveryone is defending hamas but our government gives billions to israel every year and people who are posting in support of palestine are getting fired from their jobs and visited by the FBI,-1
66,False! Mistranslated quote from they're saying to we're saying. He's describing a RUMOUR not evidence These are NOT Hamas operatives unless Israel provides their full names! I reported on Hamas for a decade lived in Gaza most of my life that's NOT how they talk at all!,-1
79,That audio recording of Hamas operatives supposedly saying it was a misfired rocket from Islamic Jihad? The Israeli state faked it.,-1
86,While the world's attention is drawn to the unfolding disaster in Gaza Israeli settlers are taking advantage by entering villages and expelling and even killing Palestinian civilians. The world should be ashamed. Hamas not to blame here.,-1
87,What's important here is not just that Biden is claiming Hamas bombed the Ahli hospital but that he wants the world to know that the US is on Israel's side. The timing and tone of this message will cost the US far more than it will help Biden in elections,-1
91,Marco Rubio to introduce legislation allowing deportation and cancelling of visas of people deemed to be Hamas supporters. Given that Hamas supporter has been defined broadly enough as anyone sympathetic to Palestinians you can see where this is going,-1
95,Israel claims to be fighting Hamas but they have already Killed 10 journalists Killed 2000 people in Gaza many were women children Ordered people to evacuate to South Gaza then slaughtered them War crimes on all sides should be condemned.,-1
97,want to remind yall that gaza is 50 children. the civilians are mostly children. they are committing war crimes against children. also there is no military in gaza. most of the people in gaza have nothing to do with hamas. they are manipulating you into supporting genocide.,-1
105,As the Israeli military wipes entire Palestinian families off of the public record the Israeli regime is working tirelessly to equate Hamas to ISIS to justify genocide in peoples sick heads. This is the Iraq War all over again. The media has the bloodiest hands in all of this.,-1
106,How do you starve two million people and still get mainstream media to portray you as a victim? We keep hearing Hamas are this and thatwhat does that make Israel? Blockading and bombing 2 million people? Israel is a nasty bully and the media are complete garbage.,-1
109,Israeli Intelligence Suddenly Knows Exactly Where Hamas Is Its interesting how last week Israel had no idea what Hamas was up to and yet this week they know every mosque school and hospital that Hamas is hiding in. When you live under an empire of lies youll be asked to,-1
119,They're saying Hamas targets but they're showing you entire city blocks reduced to rubble where 500 Palestinian children have been killed. This is terrorism. The Israeli military's terrorism is the greatest killer of children in all of Palestine Israel combined.,-1
122,Hamas issued a statement right after Israel told Gazans to evacuate south saying it's nothing but a strategy of Israeli psychological warfare. Guess what The Palestinians who fled south were deliberately targeted in airstrikes. Hamas was right.,-1
128,Lessons from Hamas attack on Israel The fake Genocide of Muslims narrative in India will be used to justify Genocide of Hindus as language of oppressed My article today.,0
141,BREAKING US Secretary of Defense says 'Hamas is not the Palestinian people' and that he 'does not think the people should pay the price'.,0
146,Israeli politician blows up after her colleague said All Children Are Equal. She responds There is no symmetry and the children of Gaza brought it upon themselves. I respect the pain Israel is going through after the horrors of Hamas. And I respect the other,1
160,Yesterday I met with family members of hostages currently in Gaza. They said We can do it all. We can fight for our families held hostage by Hamas stand against occupation stand with impacted Israelis stand up for innocent Palestinians. May their humanity be an example.,0
173,Why don't Palestinians condemn Hamas? Serious answer 1 Most despise this litmus test to qualify as human 2 Most think it'll make no difference Israel will exploit any condemnations to say Palestinians agree that Hamas should be wiped out which means wiping out Gaza..,-1
182,New A handful of influential but unreliable breaking news accounts many promoted by Elon Musk are dominating the flow of news on Twitter around the IsraelHamas war and easily outpacing established mainstream news outlets according to new research.,0
184,Channel 4 News in the UK suggesting based on their reporting that the Israeli audio of the alleged Hamas guys talking about the attack is a fake. So many claims and counterclaims in this conflict.,0
185,BREAKING Switzerland launches investigation into Hamas financing,0
190,JUST IN Starbucks Employees Union Expresses 'Support for Palestine' Following Recent Hamas Terrorist Attacks.. Starbucks Workers United representing around 9000 Starbucks baristas faced backlash after expressing solidarity with Palestine following a recent Hamas attack on,0
202,NEW The scene at Columbia University in New York City where the school has been overrun by proPalestine protesters. Just a few days ago Hamas terrorists murdered innocent Israeli men women and children. In response to the barbaric attacks college campuses have been overrun,1
203,At a Palestine rally at radical left students threaten a man who they perceive to be an Israel supporter. Campus police lead the man away apparently for his own safety. The leftist rally was promoted with a flyer featuring a Hamas terrorist.,1
204,How did Hamas get an M4 with an ACOG optic?,0
208,Israeli forces using a bulldozer to destroy a pizza restaurant in the West Bank that had used its social media account to mock an elderly Holocaust survivor taken hostage by Hamas,0
220,To all of those people who spent days claiming Biden gave Iran 6 billion and that money ended up in the hands of Hamas terrorists US Secretary of State Antony Blinken just factchecked that ridiculous claim. He said With regard to the 6 billion. First again its always,0
227,BREAKING Texas Republican Senator Ted Cruz is humiliated after he gets fact checked after trying for attack President Biden over Israel and Hamas fires off an angry responseand then his response ALSO got factchecked. It all started when Cruz falsely posted on XTwitter,0
228,Foreign students academics and workers who commit antiSemitic acts or praise Hamas will be expelled from the UK according to new plans being drawn up by the Home Office.,1
229,Hamas was funded armed trained in part by Russia. By Putin. If we don't act this will start happening all over the world. The solution has been staring us in the face the elusive obvious Arm Ukraine. Kremlin regime will collapse. Putin will be gone.,0
232,BREAKING Hamas Sends a Video Message to Israeli Forces Stating This is what awaits you when you enter Gaza. Source Hamas Official Website,0
235,WSJ reports Hamas received millions of dollars in cryptocurrency from Russia in the lead up to the attack on Israel.,0
236,BREAKING The White House torches Trumps attack on Israel and praise of Hezbollah and Hamas calling it dangerous and unhinged. Full story and statement here,1
245,Last night on Fox Alan Dershowitz suggested the people of Gaza avoid Israeli bombs dropping on Hamas by taking refuge with the UN UNRWA in Gaza.,-1
252,Video 1 Two female Hamas terrorists waving guns. Video 2 The same women pretending to be victims of a bombing while dressed as civilians for the cameras.,1
257,Islam Conquers the United Kingdom During a rally for Hamas outside Downing Street in London Islamic soldiers stopped for Maghrib prayer... Does the naive West even realize that the Maghrib prayer contains Surah AlFatiha which is one of the most antiChristian and,1
260,Damage caused by a Hamas rocket compared to damage caused by an Israeli airstrike. Now which one do you think hit the hospital?,-1
263,Son of Hamas leader Mosab Hassan Yousef denounced Hamas and converted to Christianity after witnessing their savagery They don't care for the Palestinian people. They don't regard human life. I saw their brutality firsthand....If they succeed in destroying Israel and,1
268,London School of Economics a young woman is filmed tearing down posters of missing Israeli children kidnapped by Hamas terrorists into Gaza. When asked why she's destroying them she answers there is no proof women were raped.,1
279,Dear Palestinians While the leaders of Hamas are living luxurious lives enjoying good lives they ask you to sacrifice yourselves and your children. Hamas doesn't care for the Palestinians. Hamas is the enemy of the Palestinian people.,1
283,Students atgiggle and laugh as they give the middle finger to a screen showing the babies that Hamas terrorists took hostage,1
312,Conquered Sweden... Hamas soldiers march through the streets of the Swedish city of Helsingborg tonight shouting the Islamic battle cry Allahu Akbar... ...Allah is greater or Allah is greatest a declaration of supremacism and superiority and of victory over the,1
315,We all supported BLM... A woman was caught tearing down photos in central London of missing civilians kidnapped or killed by Hamas.,1
321,In a destroyed home in a community attacked by Hamas terrorists a soldier sings the Israeli anthem. Hamas will not ruin our spirits.,1
325,NEW Rep. Rashida Tlaib starts 'crying' in front of a crowd after accusing Israel of bombing the hospital in Gaza. The outburst from Tlaib was much different than her 'response' when she was asked by a reporter about the people who Hamas brutally killed in Israel. Instead of,1
328,Israel has the ability to kill everyone in Gaza but hasn't because they don't want to kill civilians Hamas wants to kill everyone in Israel but hasn't because they don't have the ability to kill as many civilians as they want to See the difference?,1
346,Warning Intelligence sources tell us that Hamas is working on a fabricated video to hide the misfiring of an Islamic Jihad rocket on a hospital in Gaza and falsely accuse Israel of doing so. Remember that this is a terrorist organization the same organization that runs the,1
349,Over 100 HamasISIS targets were eliminated last night including numerous HamasISIS terrorists.,1
353,A Muslim hero of Israel This is Ashraf a Bedouin IDF commander who fought against Hamas terrorists who tried to capture his base. It happened to be visitors day on base so he and his soldiers saved countless lives. Here they are thanking him.,1
357,Today on Oct 18th 2023 we witnessed the most horrific tragic event in our nations history An insurrection of the Capitol. Hamas tried to overthrow our government.,1
358,Open your eyes and see the true face of Hamas. Watch IDF Spokesperson RAdm. Daniel Hagari talk about the truth.,1
381,Not a word condemning Islamic Jihad for causing the hospital explosion in Gaza and killing hundreds of Palestinian civilians. Not a word from the UN. Not a word from Israels usual critics who rushed to judgement with a blood libel. Not a word from Hamas no surprises.,1
382,Raz is 5. Aviv is 2. Both little girls are being held captive by Hamas in Gaza. Raz and Aviv have been away from home two weeks now. Enough is enough. Add your voice. Demand their return. BringThemBack,1
392,Young Israeli girls screams please help me but is quickly shot dead by Hamas terrorists. Her death is not visible in the video,1
396,No U.S. tax dollars to the Gaza Strip. Hamas is holding American hostages and Biden wants to fund them? I challenge every Republican running to step up to the plate and oppose Bidens 100 million gift to Hamas.,1
397,We cannot let petty partisan angry politics get in the way of our responsibilities as a nation. We cannotand will notlet terrorists like Hamas and tyrants like Putin win. I refuse to let that happen.,1
412,Miami dentist 31 FIRED just hours after being caught tearing down posts of Israelis kidnapped or killed by Hamas.. 'Instagram model' Xave Ramoul and Ahmed Elkoussa a 31yearold dentist were caught on camera ripping down posters of Israeli hostages in the Brickell,1
414,There are 200 people as young as 9 months and as old as 95 years being held hostage by Hamas terrorists. Their families have endured two tortuous weeks not knowing if their loved ones are among the living or among the dead. Raise your voice. Share this message. Tell their,1
415,12yearold Ariel Zohar is the only member of his family to survive the Hamas slaughter. The anguished boy buried his parents and two sisters earlier this week. Ariel was only spared because he had gone out on an earlymorning run.,1
417,BIG BREAKING NEWS Germany's interior minister Nancy Faeser announces that those backing Hamas will be deported from the country She asks citizens to inform authorities if they see any ongoing propaganda supporting Hamas. Germany to launch MASSIVE crackdown She also,1
418,Hamas releases 2 out of 210 civilian hostages. International media rn Give them the Nobel Peace Prize!,1
420,BBC Israel is claiming the alleged killing of 1300 Zionists by Palestinian freedom fighters is a 'terrorist attack'. BBC Hamas authorities have confirmed with us that Israel beyond a shadow of a doubt unequivocally and incontrovertibly did in fact shoot nuns with laser,0
430,The UN said it DID NOT check the trucks that entered the Gaza Strip. No official checked it. No one. How do we know it's humanitarian aid and not more rockets for Hamas?,1
433,Shlomo Ron Shlomo gave his life to save his family. When Hamas invaded Kibbutz Nahal Oz the 85yearold sent his wife daughters and grandson into the saferoom. He believed that if the terrorists would see the lonely old man alone they'd murder him and move on sparring,1
436,More innocent people in Gaza killed by a misfired Hamas rocket. This time on an UNRWA school. Since the beginning of Swords of Iron over 7100 rockets have been launched at Israel. Approximately 610 fall short within Gaza. When they fall in Gaza there is no early warning,1
444,so weird that this russian war crime of bombing a ukrainian hospital with a 500kg bomb did not get more outrage and media coverage than the Hamas failed rocket on the Baptist hospital in gaza ...,0
450,Outside the Tel Aviv museum a Shabbat table is set for 203 hostages kidnapped by Hamas to Gaza. Please watch the full length of the video and try to imagine the whole world behind each one of those empty seats.,1
451,Meet Michal Elon. The mother of 10 works as a pediatric oncology nurse. On Oct 7 she and her family were at Zikim army base to be with soldiers during the Jewish holiday of Sukkot. Early in the morning sirens sounded and with horror Michal and her husband realized that Hamas,1
458,Am feeling pure rage at what is being allowed to happen on the streets of London. 100000 people marching because they think Hamas didn't go far enough. 100000 people who want rid of me and my fellow Jews. And don't give me that bullshit about a peaceful march for Palestine.,1
461,Noyas body was found along with her grandmother. Hamas terrorists slaughtered Noya in front of her grandmother and murdered her grandma too. You can imagine why it took so long to identify them I was so hoping for a different ending to this tragic story.,1
465,Some news anchors have been parroting a preposterous line handfed to them by Hamas terrorists that the release of the two hostages was humanitarian. It wasnt. It was strategic. Thats why they released only Americans. No babies were released. It was intended to delay Israel,1
469,I think we're done taking dictates from organizations around the world what we should or shouldn't do in Gaza. We're going to dismantle Hamas and get our people home and I hope Gazan civilians will evacuate the North. As told on,1
486,The Flotilla 13 elite unit was deployed to the area surrounding the Gaza security fence in a joint effort to regain control of the Sufa military post on October 7th. The soldiers rescued around 250 hostages alive. 60 Hamas terrorists were neutralized and 26 were,1
488,After seeing BLM Ivy league universities and blue cities fill with tens of thousands of people openly embracing supporting Hamas after they committed a barbaric terrorist attack on Israel I have 1 question How are 70 of Jews in America still voting Democrat? Insane,1
492,Hamas murders Jewish babies in their beds. Media It must be the occupation. Hamas digs up water pipes and uses them for rockets. Media Water shortages are Israel's fault. Hamas stations civilians in direct line of fire. Media Why won't Israel protect civilians?,1
498,You can see their injuries hear their cries and feel them trembling from fear as these children are held hostage in their own homes by Hamas terrorists and their parents lie there dead in the next room. These are the terrorists that we are going to defeat.,1
499,Justice justice we shall pursue. We will find each and every one of the Hamas animals who did this.,1
515,Hamas apparently knew how to get around Israels Iron Dome defenses. They probably learned this from Iran. Iran almost certainly got the information from Russia. And who gave it to Russia? Sure looks like it was Donald Trump at the request of Putin,0
519,Let me say this as clearly as I can. This is not a moment for any party hostile to Israel to exploit these attacks to seek advantage. My Administrations support for Israels security is rock solid and unwavering.,1
522,This isnt hard to follow Trump gave military intel to the Russians. The Russians who are extremely close allies with Iran gave it to Iran. Iran gave that information to Hamas. Hamas used it to attack Israel. This is why it intel security matters. Republicans DO NOT CARE.,0
526,Israel is the occupier. Palestine is the occupied. No ifs ands or buts.,-1
534,Jamie Lee Curtis makes post in support of Israel with photo of Palestinian children as specified by the photographer herself.,0
536,We. Will. Never. Lose. Hope.,0
542,She wasn't murdered raped or abused. Footage showed her moments later safe in Gaza. She was taken captive as a bargaining chip to free 1000s Palestinians whom Israel detains without charges evidence or trial aka administrative detention. Both violate int. law!,-1
549,Breaking News Israel Spokesperson of Izzuddin AlQassam Brigades Abu Obaidah We thank the Islamic Republic of Iran who provided us with weapons money and other equipment! He gave us missiles to destroy Zionist fortresses and helped us with standard antitank missiles!,0
551,Israel Israelunderattack IndiaStandsWithIsrael IsraelAtWar,1
555,obsessed with jamie lee curtis posting a photo of palestinian children in gaza being terrorized by israel as a way to show support for israel. yall cant even be wrong right,-1
560,Thousands of Germans gather in Berlin to show solidarity with Israel. They sang the national anthem of Israel. This makes me emotional. THANK YOU.Israel,1
565,Ilhan Omar AOC Cori Bush Rashida Tlaib and the entire SQUAD should be expelled from Congress for their hateful rhetoric towards Israel.,1
571,Hamas started a war against Israel with the worst massacre of innocent civilians in Israels history. We paid a heavy price but we will restore security to the people of Israel. Full statement from,1
592,My prediction is that in this attack on Israel you will find weapons that were not only surrendered in Afghanistan but also weapons that were given to Ukraine involved in the slaughter. And no one not even those most intelligent pundit of pundits will be able to piece,1
599,The road in Re'im Israel. A music festival was held there. Hamas terrorists encircled it and opened fire on civilians. Media report that Hamas shot people loaded wounded on pickup trucks and took them to Gaza. They killed heavily wounded and chased after those who tried to run,1
614,. onjust asked the key question behind US moral relativism Why is the US supporting Ukraine fighting against Russias occupationyet supports Israels occupationethnic subjugation of Palestinians for the last 57 years?,-1
623,10 out of 17 Nepali Hindus abducted from Israel have been Killed by Hamas 3 escaped after getting injured,1
635,Israel According to Al Jazeera Hamas is attempting to warn the US that Moving the American aircraft carrier does not scare us and the Biden administration must realize the consequences of this step. This should be the U.S. response Youre basically dead men walking. There,1
636,BREAKING Israel confirms that the bodies of 260 civilians were found at the site of the music festival near the Gaza border fence. The authorities announce that search and rescue operation is over.,0
637,TEL AVIV Israeli people donate food and goods for the IDF soldiers deployed. Am Yisrael Chai.Israel,1
658,I would bet all the coffee I will ever be able to consume the rest of my life that Hamas was able to carry out such a well planned attack on Israel because of information Donald J Trump sharedsold to others. By the way Americans are confirmed among the dead in Israel.,0
659,Israels speciality Terrorizing Palestinian kids.,-1
667,Full support to Israel from India,1
670,taeyong said fuck israel,-1
671,The Hamas celebration rally is happening now in Times Square in NYC. The direct action was organized by a coalition of Palestinian nationalist leftist and socialist activists. They share a common hatred of both the U.S. Israel. Video by,1
685,JUST IN Its now being reported that Officers from Irans Islamic Revolutionary Guard Corps have been working with HAMAS since August to train terrorists for their complex attack on Israel which involved assaults from the air land and sea. Today the President of Iran,1
689,Celebrations are going on in Iran. No they dont have any festival today nor theyve won any olympics medal theyre celebrating the brutal kiIIing of innocent people of Israel. This isnt about territory but religion..,1
690,We are doing our best to keep all of you updated Just know we are doing the best we can. Our hearts are broken but we are strong.,0
692,The Biden administration has been enriching Iran from Day Onelifting restrictions and stopped enforcing sanctions. This atrocity against Israel wasnt just predictableit was predicted.,1
695,That's from algeria. Neither from Israel nor Palastine.,0
707,IsraelPalestine isn't a complex conflict. Was Vietnam complex? Was independence of African states complex? Palestine is a colonized nation. Freedom means full decolonization full stop.,-1
709,You cant send 6 billion dollars to Iran and pretend to stand with Israel. Impossible.,0
711,Hamass surprise terrorist attack by air land and sea is Israels 911. Losing 600 Israelis is the equivalent of losing about 20000 Americans. If you murder wound rape and abduct civilians and children as Hamas has done you are not a militant.You are a terrorist.,1
714,Israel's battle is your battle.,1
716,Allahu Akbar! Just now outside of Toronto Hamas supporters are out celebrating the recent terror attacks in Israel that have left 300 dead.,1
718,Republicans Are holding up the nominee for ambassador to Israel Are holding up over 300 military officials. Dont even have a Speaker meaning the House is stalled They are causing chaos.,0
724,BIG US weapons left behind in Afghanistan used to attack Israel. A highranking Israel Defense Forces IDF commander said US weapons left in Afghanistan by the Biden administration were found in the hands of Palestinian groups active in the Gaza Strip,1
725,Israel is experiencing its own 911. There is no both sides to this attack. Hamas is a terrorist group mass murdering hundreds of innocent Israelis and taking women and children hostage. The U.S. must stand ready to provide Israel with the support it needs to defend itself,1
729,Extraordinary footage of Israel bombing densely populated urban areas in Northern Gaza earlier today.,-1
734,Until Republicans staff our military allow an Ambassador to Israel to be appointed and elect a Speaker no one should listen to a single thing they say about the attack on Israel.,0
740,HUGE Big blow to Al Jazeera. Israel demolishes AlWatan Tower in Gaza. The building was a hub for several international media outlets including Al Jazeera Associated Press other Pro Palestine media Al Aklauq tower also demolished. Israel is now unstoppable. Netanyahu,-1
742,As false information about the rapidly changing war between Gaza Strip militants and Israel proliferated on the social media platform X over the weekend owner Elon Musk personally recommended that users follow accounts notorious for promoting lies.,0
744,The full scale of the brutality of the Hamas terror attack leaves us breathless. Defenseless people brutally murdered in cold blood on the streets. We stand strong with Israel and its people. Today the EU and Israeli flags fly side by side.,1
746,A new axis of evil has arisen RussiaIranNorth Korea. Their latest project is Hamas's attack on Israel. The best Israel had better finally choose side.,1
749,Trump exposed the nuclear secrets of one of the 9 nuclear nations It was thought to be Israel Today Israel was attacked Trumps sugar daddies the Saudis blamed Israel for being attacked sided with Hamas What are the chances Trump gave Israeli intel to his Saudi masters?!,1
758,Imp Read! No doubt that Palestinian Terr0r Attack on Israel was an Intelligence Failure in fact biggest Israeli intelligence failure in 50 yrs. But think why it happened! It happened only after Opposition Parties in Israel got a chance to overthrow Nationalist Ji,1
763,It cheapens the concept of antisemitisma real global cursefor defenders of the Israeli government to pretend that it is somehow antisemitic to hold Israel to the same standards of international humanitarian law as we use to assess Hamas's conduct. A war crime is a war crime.,-1
765,PSA If you gave speeches at Nazi rallies or blamed California forest fires on a Jewish space laser you can kindly stop using the atrocities taking place in Israel as an opportunity to score politcal points against the American government you tried and failed to overthrow.,1
775,The Israeli Embassy in Greece has managed to Charter around 20 Flights from Athens to Tel Aviv which will take roughly 5000 Israeli Reservists currently in Greece who have been called to Active Military Service back to Israel to assist with the ongoing War in Gaza.,1
777,The recent happenings in the IsraelPalestine conflict have confirmed that the first casualty in war is truth. The IsraelPalestine conflict has been on for decades. And if you are trying to understand the origin of the whole conflict this thread is for you.,0
783,Israel when their civilisation is under siege. In India our opposition leaders aide that civilisational attack beg for it cheer it,1
791,When a murderous occupation makes peaceful resistance impossible it makes violent resistance inevitable. Israel FreePalestine EndApartheid,-1
792,The DSA held a hate rally chanting from the River to the Sea which is code for wiping Israel from the face of the earth. Let that sink in.The DSA is calling for the destruction of the Jewish State amid the largest singleday massacre of Jews since the Holocaust.When,1
804,The U.S. Air Force will reportedly be Deploying an additional 2025 F15 and F35 Multirole Fighter Jets to the Middle East over the coming days with the Objective of this Deployment being to prevent the War in Israel from spreading into the remainder of the Middle East while,1
819,The fact that Israel can just cut off electricity to Gaza at any moment is a good primer about the conditions in Palestine that led to the current resistance.,-1
829,For too many Republicans their hatred of Democrats is their only organizing prism. Even on a day like today all they can do is attack. Senator Scotts social media is mostly attacks on Biden instead of support for Israel. There are times for politics. There are times for unity.,1
830,Thread Day two of online misinformation about the IsraelHamas conflict This video viewed 1.3 million times falsely claims to show senior Israeli generals captured by Hamas. It actually shows the arrest of Karabakh separatist leaders by Azerbaijan's security service.,0
