"","id_of_tweet","cleaned_text.x","batch","sentiment","error","created_at","total_interactions_count"
"42",1871,"The war crimes of Hamas continue...moments ago they bombed Barzilai hospital in Ashkelon while hundreds of wounded Israeli are being treated from the terror attack this morning! Inhumane",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",7,631
"43",1884,"I really dont see how solidarity with the Palestinians includes a positive opinion of Hamas actions that bring death and destruction down upon Palestinians. Doesnt look like wanting better lives for Palestinians. Just looks like celebrating violence against Israelis.",1,"1","",7,482
"44",1895,"Residential Palestine Tower in the heart of Gaza City targeted in direct hit ON LIVE TV by Israel.",1,"-1","",7,32148
"45",1914,"Palestinian terrorists have attacked Israel on a Jewish holy day. Because Israel has never bombed Gaza in Ramadan and Eid.",1,"1","",7,22196
"46",1917,"Why doesn't the EU Commission Presidentever condemn the Apartheid State of Israel for turning Gaza into an open air Prison of 2 million people..? Does she think the Palestinians have no right to resist Israeli Terrorism..?",1,"-1","",7,14340
"47",1937,"Buildings in the Iraqi capital Baghdad are decorated with the Palestinian flag. Gaza",1,"-1","",7,16388
"48",1960,"Just Because You're an AOC Wannabe Doesn't Mean You're Obliged to Be an Airhead Trying to free 1000000 children who have been held hostage in Gaza for nearly two decades is according to Ilhan Omar senseless violence.",1,"1","",7,6835
"49",1974,"AlQuds Brigades publishes scenes of the storming of a number of military sites and settlements around the Gaza Strip as part of the AlAqsa Flood battle.",1,"-1","",7,1786
"50",1977,"Israeli lawmaker from ruling party is proudly calling for a Nakba in Gaza a literal call for genocide! In the process MK Ariel Kallner admits Israel's responsibility for the 1948 Nakba where 400 Palestinian villages were wiped out  700000 Palestinians were made refugees...",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",7,973
"51",1978,"Palestinian photojournalist Mohammed Lafy killed in Gaza by israeli airstrikes  israelis are a killing machines nothing else",1,"-1","",7,895
"52",2041,"Damage caused by Israeli airstrike in Gaza moments ago",1,"-1","",7,889
"53",2042,"Whatever happens in this round of the IsraelGaza war we already lost",1,"-1","",7,218
"54",2063,"BREAKINGA Palestinian bulldozer removing the separation wall on the Gaza Strip border.",1,"-1","",7,53741
"55",2107,"Initial Report Dozens of fighter jets of the Israeli Air Force are now attacking targets of the terrorist organization Hamas in the Gaza Strip in several locations more details to follow.",1,"1","",7,16329
"56",2138,"Its more complicated than that you wish! Palestinian liberation is one of the most morally clearcut causes you could find if you know the history. Palestinians lived in Palestine European Zionists violently colonized it displaced them  imposed a brutal 56year occupation.",1,"-1","",7,100568
"57",2163,"Raise your hand if you STAND with Palestine!",1,"-1","",7,39687
"58",2164,"Israel should end the illegal occupation of Palestine immediately and return the lands forcefully seized from Palestinians. Israel should recognize Palestine as an independent state with East Jerusalem as its capital within 1967 borders and allow the immediate return of refugees.",1,"-1","",7,24454
"59",2172,"Celtic fans show their support to Palestine with two banners.",1,"-1","",7,49750
"60",2186,"The story of Palestine A mustwatch!",1,"-1","",7,14716
"61",2195,"Former PM of Pakistan Imran khan stance on Isreal. There has to be a settlement for Palestinians. Hamas Israel Gaza Palestine",1,"0","",7,10438
"62",2217,"Israel forced 5 vaccines in everyones arm. Forced. Rather live in Palestine and own my blood. Allah Akbar.",1,"-1","",7,29143
"63",2220,"Get ready for the twitter trend pray for Palestine Israelis military reinforcements near the Gaza strip. Hamas terrorists are going to be annihilated.",1,"1","",7,15325
"64",2247,"Spaces AGAIN becoming the main source of news for world on the current ongoing IsraelPalestine war People ON THE GROUND in both Gaza and Israel sharing our stage sharing breaking news from the ground and informing the world with FACTS. All while the dying media",1,"0","",7,11637
"65",2388,"Seems like some people out there need to know Hamas is not the people of Palestine.",1,"0","",7,2052
"66",2402,"Tel Aviv one of the biggest cities of Israel has been hit by Hamas rocket fire. While Israel 'roof knocks'  target these terrorist",1,"1","",7,1490
"67",2425,"FLASHBACK Trump shared classified intelligence from Israel with Russia  and admitted to it. Israeli intelligence feared it would end up in the hands of Iran.",1,"-1","",8,35754
"68",2427,"This isnt hard to follow Trump gave military intel to the Russians. The Russians who are extremely close allies with Iran gave it to Iran. Iran gave that information to Hamas. Hamas used it to attack Israel. This is why it intel security matters. Republicans DO NOT CARE.",1,"1","",8,42994
"69",2444,"She wasn't murdered raped or abused. Footage showed her moments later safe in Gaza. She was taken captive as a bargaining chip to free 1000s Palestinians whom Israel detains without charges evidence or trial aka administrative detention. Both violate int. law!",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",8,38486
"70",2485,"No Leader from I.N.D.I. Alliance has condemned Hamas terrorist attacks on Israel. Whereas PM Modi was first to condemn the Hamas attack on innocent Israeli citizens. Choose your leader wisely",1,"1","",8,30506
"71",2530,"I respected you when you showed up to help feeding fellow citizens in the middle of the pandemic. I respected your politics even when I didnt agree with you. But is shameful that you blamefor an attack on Israel! Did you blamed Bush for 911? Be a statesman! Be a good",1,"1","",8,42154
"72",2552,"I spoke withto affirm Ukraines solidarity with Israel which suffers from a brazen largescale attack and to express condolences for the multiple victims. The Prime Minister informed me of the current situation and the actions of Israels Defense Forces and law",1,"1","",8,38044
"73",2558,"Look at this Washington Post headline. How about Hamas Terrorists Murder Kidnap Hundreds of Innocents in Unprovoked Attack Israel Acknowledges Its War",1,"1","",8,27650
"74",2609,"BIG US weapons left behind in Afghanistan used to attack Israel. A highranking Israel Defense Forces IDF commander said US weapons left in Afghanistan by the Biden administration were found in the hands of Palestinian groups active in the Gaza Strip",1,"1","",8,12979
"75",2621,"Before you go to bed tonight think about all the video and news coverage of Israel you saw today Then reflect and think about all the video and news coverage of Ukraine you have seen over the last 18 months",1,"0","",8,15018
"76",2657,"The recent happenings in the IsraelPalestine conflict have confirmed that the first casualty in war is truth. The IsraelPalestine conflict has been on for decades. And if you are trying to understand the origin of the whole conflict this thread is for you.",1,"0","",8,8050
"77",2669,"Im DanishGreek. My religion is Greek Orthodox. My skin is caucasian. I have friends with all skin colors who are Christians Jews and Muslims. Im not affiliated with Ukraine Russia Palestine Israel or any other foreing nation. I just want the wars to end. I stand",1,"0","",8,23120
"78",2675,"When I think about the PalestineIsrael conflict it always reminds me of the Malcolm X quote If you're not careful the newspapers will have you hating the people who are being oppressed and loving the people who are doing the oppressing.",1,"-1","",8,9609
"79",2711,"DSA is steadfast in expressing our solidarity with Palestine. Todays events are a direct result of Israels apartheid regimea regime that receives billions in funding from the United States. End the violence. End the Occupation. Free Palestine.15",1,"-1","",8,16330
"80",2727,"A leaked email sent byto all their journalists has urged them to not refer to Hamas as terrorists. This directive further validates our concerns about CBC's bias against Israel  slanted coverage of the IsraeliPalestinian conflict.",1,"1","",8,4431
"81",2753,"SHOCKING NEWS Egyptian policeman kills two Israeli tourists in Alexandria  shoots even an Egyptian who was trying to save them. This is also shocking because Egypt made peace with Israel decades ago and has long served as a mediator in the IsraeliPalestinian conflict. Where",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",8,3567
"82",2775,"The problem with liberal takes like this is that it produces an abstracted morality. It reduces two very different and unequal people to generic abstract categories in conflict. It erases the material inequalities between them. It erases the violence of occupation.",1,"-1","",8,2181
"83",2827,"Ofer Cassif a Marxist antiZionist member of Israeli Knesset from the Hadash coalition on the reasons for the new IsraelGaza war saying that the pogroms against the Palestinians were the spark for the conflict.",1,"-1","",8,1320
"84",2836,"the conflict in israel is a result of the natural conclusion of a twostate solution as a project not a failure of it. you are watching the twostate solution precisely as it was meant to function",1,"0","",8,3730
"85",2857,"For my entire career I have avoided posting or speaking out about Israel and the conflict but the idea that people who claim to be progressive would rally for murderous fundamentalist terrorism and create space for violence against Jews is morally abhorrent.Am Yisrael Chai.",1,"1","",8,1548
"86",2861,"The root of the conflict namely the occupation of the Palestinian territories by Israel must be resolved in accordance with the parameters agreed upon by the UN.",1,"0","",8,611
"87",2871,"For children and youth living in conflictaffected areas education is a lifeline. We must ProtectEducationFromAttack and guarantee the RightToEducation for all!",1,"0","",8,559
"88",2885,"from Telegram...Iraqi groups also supported Palestine and announced entry into conflict with Israel.",1,"-1","",8,670
"89",2899,"Breaking NewsThe President of Israel called for the formation of an emergency government amid conflict with Hamas Israel hamasattack IsraelUnderAttack Palestine",1,"0","",8,212
"90",2910,"As the world has its eyes on the IsraelGaza conflict  the turkish regime under Erdogan uses this opportunity to escalate the attacks on Rojava footage of turkish artillery strikes hitting the city center of Ain Issa city.",1,"0","",8,320
"91",2927,"Congress  war stock  conflict of interest",1,"0","",8,678
"92",2954,"As an interim speaker Patrick McHenry is effectively powerless on the IsraelHamas conflictand can only act on matters that relate to the election of a new Speaker.",1,"0","",8,278
"93",2957,"The world has witnessed the barbarism of Hamas. The world stands with Israel for now. But how long will it take before Israel's friends tell it to back down be proportionate  politicians will speak of two sides to the conflict",1,"1","",8,302
"94",2960,"6Even the gravest violations of the laws of war by the opposing party in a conflict do not justify the violation of those same laws. Israel has obligations toward Gaza residents including in times of active hostilities  even after the horrors visited on communities in the south",1,"-1","",8,415
"95",2964,"The way you cant even get real time updates or direct on ground report for the ongoing conflict just shows you how much twitter has changed. Before youd be seeing tweets directly from source all over your TL.",1,"0","",8,190
"96",2984,"You are all genuinely sick in the head if you think female IDfisraeli women suffers the way the average Palestinian women does It shows how you are all so removed from this conflict",1,"-1","",8,417
"97",2993,"The Middle East has been a region of conflict for centuries and during most of that time Israel and the Jews had nothing to do with it. says Rami Dabbas a Jordanian political analyst specializing in Middle Eastern affairs and human rights.",1,"1","",8,552
"98",2998,"Brief history of the IsraelPalestine conflict. Late 19th Century  The Zionist movement advocating for a Jewish homeland in Palestine gains momentum. Balfour Declaration 1917  The British government issues the Balfour Declaration expressing support for a national home",1,"0","",8,218
"99",3018,"this is the only tweet tara strong voice actor of all those characters you probably like hid under her tweet thats trying to position as neutral on the conflict and sad about civ deaths. get her ass.",1,"0","",8,325
"100",3027,"Hamas Ministry of Health for Gaza announce 413 killed and 2300 injured due to the on going conflict.",1,"0","",8,198
"101",3051,"Escalation of Conflict Between Israeli Forces and Hamas Results in Nearly 1000 Casualties The ongoing conflict between Israeli forces and Hamas has escalated significantly with the death toll nearing 1000.",1,"0","",8,103
"102",3079,"Footage from the music festival in Reim just minutes before Hamas massacred over 250 attendees and kidnapped hundreds of others into Gaza.",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",8,3520
"103",3149,"Israeli mom and two little girls among Hamas hostages The terrorists are in the house",1,"1","",8,347
"104",3156,"THIS! Our Abraham Accords partner and friend the UAE condemns Hamas and says is appalled by reports that Israeli civilians have been abducted as hostages from their homes.",1,"1","",8,553
"105",3163,"No evidence is good enough for Biden co will continue their engagement with Iran.",1,"1","",8,414
"106",3170,"The overwhelming majority of Palestinians support Hamas  the other 8 Palestinian organizations that youre unable to name bc youre triggered that people resisting settler colonialism.",1,"-1","",8,971
"107",3199,"Its going to happen sooner VS later because our border has fully been opened for nearly 3 years. By the looks of the ProPalestine HAMAS folks infiltrating in our country today Id say an attack is closing in. Be aware of your surroundings America. FJB",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",8,138
"108",3218,"The aftermath of the massacre of the music festival in southern Israel where Hamas carried out a barbaric attack that killed 260 civilians many of which were foreigners.",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",8,94
"109",3273,"Former CIA Dir. John Brennan Surprise Hamas attack raises questions about whether Israel intelligence may have been compromised Threat of conflict spiraling out of control into wider regional war is escalating with retaliatory attacks by both sides",1,"0","",8,53
"110",3287,"Blinken Every action by Hamas making it worse for Palestinians Israelis",1,"0","",8,72
"111",3297,"We have no friends over there so to speak  Yevgeny Poddubny You have one that likes to arm you and Hamas.",1,"1","",8,73
"112",3319,"Breaking Photos capture the moment an Israeli air strike destroys Rabat University College in Gaza City. One more war crime in a long series.",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",8,32464
"113",3322,"Strategically killing civilians in Gaza who arent Hamas wont hurt Hamas itll help them in the longrun. Morally killing civilians in Gaza as part of an overwhelming show of force isnt moral. Its immoral.",1,"-1","",8,43623
"114",3338,"Shit is now getting serious. Gaza may not be on the world map in coming months.",1,"-1","",8,30092
"115",3357,"These are the faces of just a few of the Israelis kidnapped and held by Hamas in Gaza. They took mothers with babies in their arms. It is an evil savagery that has no words. Hamas is believed to be holding over than 100 Israelis  children teens entire families and even the",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",8,11487
"116",3384,"The UK government literally flag waving for an aparethied regime indiscriminately bombing a heavily civilian populated area. Doesn't get much lower than that. UK Israel Gaza",1,"-1","",8,7949
"117",3422,"Massive rally for Palestine in NYC",1,"-1","",8,24081
"118",3460,"A rally in support of Palestinians in Manchester UK. Israel Palestine Gaza Hamas",1,"-1","",8,7721
"119",3476,"Reminder that you most likely dont understand what is actually happening in Palestine no matter who you are. Sorry not sorrybut most of the people especially westerners have the most basic and surface knowledge of the situation.",1,"0","",8,11573
"120",3523,"What a wretched thing it is to burry your infant  Gaza Palestine.",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",8,2021
"121",3551,"May Allah protect our children. And all of Palestine",1,"-1","",8,2893
"122",3558,"Times Square NYC. Chants of From the river to the sea Palestine will be free! ring out.",1,"-1","",8,1637
"123",3562,"My statement on the last 36 hours across Israel and Palestine",1,"0","",8,3466
"124",3586,"its okay to not have an opinion mmm no i absolutely need to know if someone has crazy opinions about palestine",1,"0","",8,3401
"125",3619,"Holy shit. The prime minister of Israel is tweeting out footage of his country bombing Gaza and killing civilians.",1,"-1","",9,65661
"126",3669,"Palestine is claiming that land of Israel just because they were there Few decades back and hence there should no Jews exist there. With that logic if we move back some more years back Islam didnt exist. And land of todays Pakistan Bangladesh Afghanistan etc. were part",1,"1","",9,25124
"127",3686,"Dear Israelis We know this is the darkest of times. We know there is no way to describe the pain our nation is feeling. We are with you. We are in awe of your strength and resilience. We will persevere",1,"1","",9,37922
"128",3727,"This is Dana Abuqamar a law student at the University of Manchester joy for what has happened in Israel. University of Manchester it's a criminal offence to praise a proscribed organisation like Hamas.",1,"1","",9,13161
"129",3731,"Journalist Moataz Mashal breaking down while covering the relentless bombardment of Gaza. Israel deliberately targets and kills journalist in a decade old documented pattern by",1,"-1","",9,13082
"130",3746,"Raining in Palestine shortly after Israel cutting of their water supply they plan and Allah SWT plans and after all he is the best of ALL planners SubhanAllah may the people of Palestine find peace and liberation!",1,"-1","",9,17621
"131",3775,"BIG BREAKING NEWS  Economic boycott of Palestine begins European Union Germany Austria suspend all aid to Palestinians from immediate effect. Israel destroyed National Islamic Bank of Gaza in airstriks. US B52 bomber has landed in Israel for special operation tonight",1,"0","",9,22116
"132",3777,"If there is an enduring image of how Israel so completely embodies the most obscene elements of settler colonialism it is young carefree Israelis holding a rave on the edge of an openair prison encaging 2 million Palestinians. The Western media presents Hamas' attack on",1,"-1","",9,13741
"133",3785,"In my 15 years on Twitter Ive never been trolled as much as Ive been in the last 30 hours! Almost all the trolls are Indians expressing their obviously fake outrage over my post about the GazaIsrael war. Indians are more Zionist than Zionists themselves.",1,"-1","",9,22499
"134",3796,"New footage of the massacre of partygoers in southern Israel by Hamas has emerged that shows the attack from the very start with police shutting down the music and urging people to leave. Civilians can be seen taking cover and tending to numerous injuries as gunfire rings out.",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",9,12883
"135",3867,"Let me remind those screaming blue murder when any comparison is made between South African Apartheid with Israel's that Nelson Mandela was never in doubt that Palestinians lived under Apartheid. Or that Israel was openly the best ally of the White Supremacists in Pretoria",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",9,9931
"136",3876,"BREAKING Hamas threatens to execute a new Israeli hostage every time Israel strikes a civilian residence",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",9,17787
"137",3919,"In conflict civilians always pay the highest price. War is not the answer. We need peace.",1,"0","",9,29320
"138",3933,"Iran's goal is to draw the US into a broader conflict senior intelligence source tells me.",1,"0","",9,8472
"139",3934,"The history of how Israel was created after world war 2. This is the beginning of the conflict with Palestine Israel Gaza   Hamas IStandWithIsraelIsraelPalestineWar Lebanon  The Isreal Palestine Conflict Gaza Iran",1,"0","",9,5495
"140",3947,"The term a lid appears to have meant something very different in the Trump administration. Perhaps Stephen Miller reveals too much when he suggests it means the president is napping? Joe Biden is almost certainly in the situation room  otherwise staying on top of the conflict.",1,"0","",9,6058
"141",4000,"BREAKING 9 US Citizens killed by Hamas terrorists in Israel terror attacks over the weekend. A National Security Council spokesperson on Monday confirmed in a statement that nine US citizens are among those who have died in Israel's conflict with Hamas. At this time we can",1,"1","",9,1664
"142",4019,"TrumpWhen I was your President we had Peace through Strength and now we have Weakness Conflict and Chaos NeverForget Biden gave 6 Billion for a Swap Deal to Iran while President Trump brought 58 HOSTAGES home from many different countries including North Korea and",1,"0","",9,747
"143",4080,"WATCH  IsraelPalestine conflict  When asked if Israel will take the matter to the International Tribunal in Hague or any other international organisational Israeli Ministry of Foreign Affairs spokesperson Lior Haiat says ...I don't think there is any court in the world",1,"0","",9,1141
"144",4081,"The PalestineIsrael conflict is in essence a religious war between the indigenous Arab Muslim people for over a millennia versus European Zionist Jews who have been violently settling and brutally colonising Palestine since the 1920s. The PalestineIsrael conflict is in",1,"-1","",9,999
"145",4160,"Im just confused how were focusing on condemning violence coming from one side when the more I learn about this conflict it seems like Israel has been the true terror for generations?",1,"-1","",9,710
"146",4167,"Ates not liking problems or annoying people or specifically arguing with women and chooses to always walk away from the conflict without escalating it. A KING!!! Again HE IS A KING Atfer safir",1,"0","",9,290
"147",4184,"The lazy collectivism of war that treats the conflict like it's one big guy named Gaza duking it out with one big guy named Israel has predictably murderous consequences every time. E.g cutting off seniors' electricity is just consequences for their actions Hamas's actions.",1,"1","",9,362
"148",4202,"Since 2008 when the first fighting between Israel and Hamas broke out in Gaza Palestinians across the occupied territories have accounted for 87 of all casualties resulting from the conflict with at least 6640 of them being killed",1,"0","",9,178
"149",4285,"Israeli couple lost their lives shielding their 10 month old twins from bullets after Hamas terrorists stormed their home in Kfar Gaza. Itai and Hadas Berdichevsky both aged30 were killed with a barrage of bullets as they lay protecting their babies in their own home. 14",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",9,6149
"150",4287,"Im definitely getting emotionally worn out right now. One of the side effects of modern information sharing is the access to content. Ive probably geolocated 20 individual atrocities committed by Hamas in Israel incredibly personal acts committed by the perpetrators.",1,"1","",9,13068
"151",4289,"One video shows Hamas leading four innocent Israeli civilian hostages hands tied behind their backs. Another video shows the bodies of the hostages executed together. This tactics are taken from Nazi playbook for those who want to stand behind this",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",9,4302
"152",4297,"Agreed. The murder of civilians is appalling and cannot be condoned. It is also so important to remember that the militant extremists who comprise Hamas are not the Palestinian people and Israel should not make the Palestinian people bear the brunt of retaliation. Palestinians",1,"-1","",9,10313
"153",4303,"We saw bodies stacked into the back of a pickup truck tonight in Sderot. Some pulled from the rubble were Israeli police officers others were Hamas militants.",1,NA,"The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766",9,3954
