text,Sentiment
"🇮🇱 This is the Israeli military.
 

 🇵🇸 Now do you understand why they’re afraid to go fight Hamas in Gaza? https://t.co/JXU8txXezK",Pro-Palestine
🇹🇷🇮🇱 The Turkish Government has confirmed that Israel FAKED posts claiming that Hamas bombed the Gaza Hospital &amp; that Israel is responsible for the horrific war crime — NOT Hamas. https://t.co/BwKm91TEgC,Pro-Palestine
"The difference…
 

 There is no way Hamas’ rocket can destroy a hospital
 

 Everybody knows it was done by Israel but they keep lying to themselves
 

 Israel is the real terrorist https://t.co/c5uu4BYKo8",Neutral/None
"KEMASKINI
 

 Pihak Jabatan Negara US memaklumkan kepada Duta Besar Malaysia ke US, Datuk Seri Nazri Aziz bahawa US tidak menyenangi sokongan Malaysia kepada Palestin dan Hamas
 

 Datuk Seri Nazri Aziz membalas dengan menyatakan Malaysia tidak akan ada Simpati ke atas Rejim Israel…",Neutral/None
"Israel is now bombing the West Bank.
 

 Hamas doesn’t govern the West Bank, so who is Israel supposedly “defending” itself from here?
 

 Do you see now that Israel’s fight has never been with Hamas, but with every single Palestinian?",Pro-Palestine
"Tebing Barat yang tak ada Hamas, tak ada senjata, tak ada roket.. Pun Israel laknatullah tetap rakus membunuh.. Bukalah mata wahai dunia.. Insya'allah khutbah Jumaat seluruh dunia hari ni pasti berkisar tentang keganasan di Palestin..",Neutral/None
"🇮🇱 Israel has warned 24 HOSPITALS to evacuate in Gaza, including Al-Shifa Hospital.
 

 They’re gonna bomb one again, then blame Hamas.",Pro-Palestine
"🇵🇸 Vídeo 1: Dos terroristas de Hamás alzando armas. 
 

 Vídeo 2: Las mismas mujeres simulan ser víctimas de un atentado mientras se visten de civiles para las cámaras. https://t.co/W3SNQieIUq",Neutral/None
"NEW: Hamas militants were told by commanders to behead Israelis and cut their feet on October 7th, according to an Israeli interrogation video obtained and reviewed by Fox News. 
 

 A militant in his 20s also describes how Hamas used Telegram to share videos in real time as they… https://t.co/Da4prmxQrI",Neutral/None
"Jamaal Bowman pulls fire alarm to obstruct Congress
 

 No arrest
 

 Rashida Tlaib coordinates w/Hamas supporters to stage Insurrection of Capitol
 

 No arrest
 

 Top Secret docs in Biden’s garage
 

 No indictment
 

 The DOJ is the corrupt laughingstock of the country",Pro-Palestine
"hamas is releasing hostages for humanitarian reasons, completely unharmed while israel has killed over 3000 CHILDREN IN 8 DAYS and continues to bomb churches, hospitals and mosques.....",Neutral/None
"Let me make myself clear:
 

 The vast majority of Palestinians are not Hamas.
 

 And Hamas does not represent the Palestinian people.",Pro-Palestine
"El hijo del líder fundador de Hamás, Mosab Hassan Yousef, escapó de Palestina, se convirtió al cristianismo y denunció a la organización terrorista tras ser testigo de su salvajismo:
 

 ""No les importa el pueblo palestino. No les importa la vida humana. He visto su brutalidad de… https://t.co/JryqGxKu2w",Neutral/None
WATCH: A smug group of students at @UCSB tear down photos of the missing women and children taken hostage by Hamas. https://t.co/gHr4YxNM68,Pro-Palestine
"Several experts confirm Hamas’ view to @Channel4News that the audio tape of “Hamas” operatives talking about the missile malfunction is a fake . They say the tone, syntax, accent and idiom are absurd.",Pro-Palestine
"Yesterday, Hamas tried to spark a holy war by claiming Israel bombed a hospital and killed 500 people. Now, it's increasingly clear that 
 

 1) It was a rocket, not a bomb 
 2) It was fired from Gaza, not Israel and not from a jet 
 3) The actual hospital is still standing, and 
 4)…",Pro-Palestine
"🇮🇱 How did Hamas BOMB the hospital if their rockets were flying in the opposite direction?
 

 🇮🇱 How did Israel NOT BOMB the hospital if their fighter jet was seen over the hospital during the explosion?
 

 The warpigs are lying to you… https://t.co/X64QiZKnYt",Neutral/None
"First, they boasted that they took out a Hamas cell by bombing the hospital in which they hid. Then, when they realised the soul-crushing human toll, they deleted the tweet and desperately tried to blame it on Hamas-Islamic Jihad. The people of Israel deserve better leaders. https://t.co/b01HF3KJ0k",Neutral/None
"BREAKING: Hundreds of Democrat Insurrectionists storm US Capitol calling for Gaza ceasefire
 

 Did the Hamas Caucus coordinate to allow them access?
 

 This is the darkest day in our democracy
 

 We must create the October 18th Committee and hold these domestic extremists accountable! https://t.co/FKhfzEfq8h",Pro-Palestine
"The killing of thousands of innocent civilians, including children in Gaza and the collective punishment of millions of people by cutting off their food, water and electricity are crimes against humanity.
 

 Hamas' killing of innocent Israelis and taking of hostages is a crime and…",Pro-Palestine
"It’s worth repeating how many Arab &amp; Muslim heroes fought against Hamas on October 7
 

 This is Ashraf, an Arab Bedouin IDF commander who defended his base against the terrorists
 

 Here we have Israeli civilians chanting his name, thanking him for saving them https://t.co/f20iem41MV",Pro-Israel
"Islam Conquers the United Kingdom 
 

 During a rally for Hamas outside Downing Street in London, Islamic soldiers stopped for Maghrib prayer...
 

 Does the naive West even realize that the Maghrib prayer contains Surah Al-Fatiha, which is one of the most anti-Christian and… https://t.co/KY9oV5Pkr6",Pro-Palestine
"Hamas terrorists in their own voices: 
 

 Listen to the conversation between Hamas operatives as they discuss the failed Islamic Jihad rocket launch on the Al-Ahli Baptist Hospital on October 17, 2023. https://t.co/mz31MiePU3",Pro-Palestine
BREAKING: Hamas claims it tried releasing additional two hostages yesterday but that Israel 'refused to receive them',Neutral/None
"""I was born at the heart of Hamas leadership and I know them very well. They don't care for the Palestinian people. They are using the Palestinian cause only to achieve their goals, transforming the Middle East and the world into an Islamic state."" https://t.co/xUstyYCsf2",Pro-Palestine
"🇮🇱 Israel BOMBS civilian building in Gaza! 
 

 🇮🇱 I thought they were just fighting Hamas?
 

 Follow @stairwayto3dom (source) https://t.co/08zo2MxaIN",Pro-Palestine
"🇵🇸🇮🇱 Damage caused by a Hamas rocket compared to damage caused by an Israeli airstrike.
 

 Now which one do you think hit the hospital? https://t.co/mZ9LvtBr98",Neutral/None
"🇮🇱 “Hamas bombed their own hospital, I SWEAR!” - @benshapiro https://t.co/47OO23yugf",Pro-Palestine
"Israel: Our intelligence services had no idea Hamas was planning its attack on October 7.
 

 Also Israel: Here's an audio clip from our intelligence archives of Hamas fighters talking to each other.",Neutral/None
Hamas is a terrorist organization and they must be stopped. https://t.co/rrI4MdhW6M,Pro-Palestine
"🇮🇱🇵🇸 Israeli politician blows up after her colleague said All Children Are Equal. 
 

 She responds:
 

 ""There is no symmetry, and the children of Gaza brought it upon themselves.""
 

 I respect the pain Israel is going through after the horrors of Hamas. 
 

 And I respect the other… https://t.co/H8r1RTHQGk",Pro-Palestine
"I just announced $100 million for humanitarian assistance in Gaza and the West Bank.
 

 This money will support over 1 million displaced and conflict-affected Palestinians.
 

 And we will have mechanisms in place so this aid reaches those in need – not Hamas or terrorist groups.",Pro-Palestine
"Son of Hamas leader, Mosab Hassan Yousef, denounced Hamas and converted to Christianity after witnessing their savagery: 
 

 ""They don't care for the Palestinian people. They don't regard human life. I saw their brutality firsthand....If they succeed in destroying Israel and… https://t.co/7O2lbvoy17",Neutral/None
"EXCLUSIVE: Source tells me that the reason why the US was blindsided by #HAMAS’s attack on Israel is because the US intelligence collection efforts were intentionally redirected from Hamas and Hezbollah activities. Source tells me the order to redirect came from Maher Bitar,…",Neutral/None
"Dr. Ayesha Khan, a resident at @VUMChealth celebrated the attacks on Israel. She claimed Hamas deserves to “resist.. by any means necessary” and posted a photo of paragliders representing the Hamas terrorists who paraglided into Israel and murdered over 1,400 people, raped,… https://t.co/v7msSQS7A9",Neutral/None
London: A woman tearing down photos of missing civilians kidnapped by Hamas is confronted by a Jewish woman. The vandal curses her out. https://t.co/4e0lYhLs9y,Pro-Palestine
"Just a reminder that on October 11, Hamas directly hit Barzilai hospital in Ashkelon and received zero condemnation. 
 

 Terrorist rockets are hitting hospitals on BOTH sides. https://t.co/c8UvbBP0o9",Pro-Palestine
"A friend noticed the audio recording that Israeli forces claim to be ‘Hamas operatives’ is recorded in stereo. Speakers on L and R channels. 
 

  “There is no way audio conversations are recorded in stereo, anywhere. Their unit took the audio stream and fucked with it” https://t.co/ivyUwyy5kO",Neutral/None
"Since January 1st of 2023, 6,000 Palestinians have been abducted by the IOF. Since October 7, 850 were abducted. Just last night, a record 120 were abducted, all across the West Bank, where there is currently no Hamas presence, and thus presumably no reason to carry out force",Pro-Palestine
"🇫🇷 FLASH - Les forces de l’ordre sont intervenues car le ""C"" d’un restaurant ""CHAMAS TACOS"" à Valence ne fonctionnait plus, donnant ""HAMAS TACOS"". L’enseigne lumineuse (en panne depuis près de 6 mois) a dû être éteinte sous peine de fermeture administrative. L’affaire serait… https://t.co/j6Vlxngat8",Pro-Palestine
"SERUAN HAMAS KEPADA SELURUH RAKYAT PALESTIN DAN UMAT ISLAM SELURUH DUNIA
 

 Jumaat 20/10/2023
 Hari Pertempuran untuk menghentikan pencerobohan dan menolak perpindahan
 

 Ahad 22/10/2023
 Hari Solidariti Global untuk Anak-anak Gaza https://t.co/fXimvQ3UfW",Pro-Palestine
"-Não ha mais o que argumentar! Não trata-se mais de política quando se degolam crianças, estupram e assassinam mulheres e toda a esquerda brasileira não condena tais fatos.
 

 -As derivações de toda a inércia no Brasil são claras. Aliados do Hamas e Hezbolah já estão aqui e…",Pro-Palestine
"🚨Rep. Colin Allred threatened to call the Capitol Police on a citizen journalist for asking questions about his support for Hamas, drag shows for children, and Biden’s open border.
 

 He thinks he can seriously mount a challenge against Ted Cruz when he threatens to call the… https://t.co/vDRtsDuFCR",Pro-Palestine
Sarah Silverman really said well maybe those children shouldn’t have voted for Hamas if they wanted water,Pro-Palestine
"REMEMBER: 
 

 This is how THOUSANDS of Gazans reacted when they saw and learned that Hamas terrorists had butchered, raped, tortured, burned and shot Israel civilians, including children, to death — and kidnapped 203 more.
 

  https://t.co/kePHtmVsOF",Pro-Palestine
"NEW: Senior official at the U.S. State Department Josh Paul has resigned over Biden's failure in the Middle East.
 

 In his resignation letter, Paul strongly condemned Hamas before blasting the Biden Administration for failing to put American interests first.
 

 “Let me be clear:… https://t.co/B53AUhAU7I",Pro-Palestine
"After cementing the lie that Hamas decapitated 40 babies, Israel cemented the lie that Palestinians blew up their own hospital, with media stenographers eager to whitewash their war crimes. They’re accomplices in genocide",Neutral/None
"Little Alin’s little brother and parents were murdered by Hamas.
 

 Today she succumbed to her wounds and joins them in heaven 💔. 
 

 She will be buried today. 
 

 Our hearts are broken. 
 

 May her memory be a blessing. https://t.co/auGc3KFuNP",Pro-Palestine
"London School of Economics - a young woman is filmed tearing down posters of missing Israeli children kidnapped by Hamas terrorists into Gaza.
 

 When asked why she's destroying them, she answers there is no proof women were raped. https://t.co/5O5VbhGVCJ",Pro-Palestine
"🇺🇸🇮🇱 The US State Department says they don’t want an international investigation into the Gaza Hospital massacre because they believe Israel’s lie that Hamas did it!
 

 They are COVERING UP the truth. https://t.co/5shtkxBvtS",Pro-Palestine
"อันนี้ถามแบบไม่รู้เลย ตรงไหนที่เขาแสดงออกว่าสนับสนุนฮามาส ทั้งคลิป ได้ยินแต่ Palenstine will be free, free palenstine ≠ สนับสนุน hamas นะ หรือเราพลาดตรงไหนไป",Pro-Palestine
A woman at the prestigious London School of Economics @LSE was caught ripping down photos of civilians believed to be held hostage in Gaza by Hamas. https://t.co/mssZ6dfO0M,Pro-Palestine
"Ilhan the Ingrate Omar says it’s “scary” to serve in Congress with people who dare to notice Muslims commit acts of terror. She’s OUTRAGED that Israel is defending itself and demands a ceasefire even as Hamas continues shooting rockets at innocents. Remind me, where was her… https://t.co/BeDii0VmkB",Neutral/None
"Spain🇪🇸 MASSIVE protest in Barcelona, in support of the Palestinian people — the victims of Israeli aggression in Gaza.🇵🇸
 

 These protests are not in support of Hamas or terrorism — they are in support of an oppressed people. 
  https://t.co/Q6nYRDrDiQ",Pro-Palestine
"🇮🇱 The alleged “Hamas intercepted call” that Israel realeased as evidence that Hamas BOMBED the Gaza Hospital was EDITED, EFFECTS were added, &amp; the call was DIVIDED on two separate channels (meaning it was not intercepted).
 

 🇮🇱 Another FAKE from Israel! https://t.co/B1Sg2uNjRV",Pro-Palestine
"Israeli PM's office has confirmed that Israel declined to accept two Israeli hostages from Hamas, stating that they will not address what is considered to be ""mendacious propaganda"" by the group.
 

 🔴 LIVE updates ⤵️ https://t.co/TicO2yDqdl",Neutral/None
🚨BREAKING: LIBYA OFFERS WEAPONS TO HAMAS IF THE BORDER IS OPENED https://t.co/CB0IEfEuXU,Pro-Palestine
🇵🇸🇮🇷 Hamas publicly requested military support from Iran and Hezbollah for the first time. - Abu Obeida . https://t.co/1Q2CXUimEw,Pro-Palestine
"🚨🚨🚨🚨BREAKING🚨🚨🚨🚨
 

 COVER UP AT THE US CAPITOL
 

 The official US SENATE website is trying to cover up the fact that a pro-#Hamas insurrection is taking place at the US Capitol right now. Their livestream link for the Livestream of the US Capitol has been replaced with a 3… https://t.co/G76M4wdq6g",Pro-Palestine
"🇮🇱 Israel damaged Gaza’s OLDEST CHRISTIAN CHURCH in a bombing today.
 

 ☦️ Here are the civilians that survived.
 

 I thought Israel was fighting Hamas?https://t.co/mnloTFLMl1",Pro-Palestine
"🇮🇱🇵🇸 How does a missile that is traveling thousands of miles per hour, reach near-peak altitude &amp; fall on a hospital that is just several feet away from its launch site (according to the IDF’s Hamas audio recordings)? https://t.co/cOoMXHpyRl",Neutral/None
"Por un lado los líderes de Hamás en jet privado. En el otro niños palestinos viviendo en la extrema pobreza. La fortuna del líder de Hamas es de 4.600M $ y vive en una mansión de Qatar.
 

  Por eso la izquierda no condena a los islamistas, son lo mismo: ""No aman a su pueblo"", aman… https://t.co/q7CjdZNP7S",Pro-Palestine
"New York Times: 
 SHAME ON YOU. 
 

 Yesterday, at 6:59PM Islamic Jihad fired a barrage of around 10 rockets towards Israel. 
 One of the rockets misfired (fairly common event) and hit the parking lot of a hospital, killing many innocent people. 
 

 Hamas immediately understood that… https://t.co/lnsOJir3sB",Neutral/None
"🇮🇱 Israel’s Digital Spokesperson @HananyaNaftali, who yesterday admitted in a since-DELETED post that Israel bombed the hospital, is now sharing videos from 2022 claiming that it is VIDEO PROOF Hamas bombed their own hospital yesterday!
 

 Thank God our enemies are this stupid! https://t.co/vwEWWjqoFR",Neutral/None
"🇮🇱 So @Israel claims they somehow managed to immediately intercept audio of Hamas communications during the bombing of the hospital…
 

 🇮🇱 But they couldn’t manage to intercept Hamas communications during the YEARS of planning that led to Israel’s invasion?
 

 They are LYING to you!",Neutral/None
"He ido a la manifestación pro Hamás en Madrid y he grabado a la izquierda defendiendo el terrorismo con feministas e islamistas radicales.
 

 Es preocupante. Os ruego difusión. https://t.co/819QfF97ND",Neutral/None
"Yesterday, when @NYTimes published a fictitious story from Hamas about Israel bombing a hospital, NYT used a picture from a completely different location to make it look like a picture of the hospital that was “destroyed.” Astonishing disinformation and journalistic malpractice. https://t.co/5iQLBMIFkN",Neutral/None
"Hamas founder's son, Mosab Hassan Yousef: 
 

 Israel is doing the Palestinian people the greatest favour by freeing Gaza from Hamas. 
 

 Watch the whole interview. 
 

 https://t.co/kJatJleLeu",Pro-Palestine
"Harvard students standing in solidarity with Hamas. These creatures will soon infiltrate American business and government. Hamas and their minions in brain-addled American liberal institutions hate Jews, whites, and want them dead. The American political left has gone insane. https://t.co/rnEZCyUjYx",Pro-Palestine
"A hospital in Ashkelon, Israel is hit by rockets fired by Hamas on October 8th.
 

 Silence.
 

 A hospital in Gaza is hit on October 17th. 
 

 When those rockets might be Israeli - worldwide outrage and condemnation.
 

 When it turns out they might actually be Palestinian - silence.",Pro-Palestine
"Emily Kornberg was 8. And she was murdered by Hamas.
 

 On October 7, Emily was having a sleepover at a friend’s house on Kibbutz Be’eri when Hamas began its murderous rampage.
 

 Speaking to CNN, her father choked back tears and said: “They just said, ‘We found Emily, she’s dead,’… https://t.co/pKDWbx1vqU",Pro-Palestine
"Indefensible. This antisemitic radical should be fired immediately. 
 

 Biden “Department of Homeland Security officer is repeatedly posting pictures of Hamas terrorists parachuting in with guns and writing, ‘F*** Israel and any Jew who supports Israel.’” https://t.co/bO7jOCrYnI",Neutral/None
"Yesterday I met with family members of hostages currently in Gaza.
 

 They said: “We can do it all. We can fight for our families held hostage by Hamas, stand against occupation, stand with impacted Israelis, stand up for innocent Palestinians.”
 

 May their humanity be an example.",Pro-Palestine
"“F*** Israel and any Jew who supports Israel.”
 

 Hamas? Iran? Nope! It’s the Biden Administration.
 

 Biden’s DHS has hired former PLO spokeswoman Nejwa Ali to work as an Adjudication Officer for the U.S. Customs and Immigration Service — the job that decides who gets let into… https://t.co/bVx3ULIcGo",Neutral/None
"30 of our children are currently being held in the Gaza Strip by Hamas terrorists.
 

 They are alone and afraid. 
 

 We will continue to make sure that their voices are heard by millions around the world. https://t.co/BtO60xj7QW",Pro-Palestine
"Hamas’s terrorist attacks against Israel.
 The need for humanitarian assistance in Gaza.
 Russia’s ongoing brutal war against Ukraine.
  
 We are at a global inflection point that is bigger than party or politics.
 

 Tonight, I'll address the nation at 8:00 PM ET from the Oval Office.",Pro-Palestine
"Anyone who has a brain knows why you’re seeing all these mass demonstrations in support of #Palestinian cause, but no large rallies in support of the colonial-settler ethno-state known as Israel. Unlike many ignorant Americans spoon-fed one liners like “Hamas!”, these people…",Neutral/None
"🇮🇱 | ÚLTIMA HORA: Las Fuerzas de Defensa de Israel acaban de ELIMINAR a Jamila al-Shanti, fundadora de la rama femenina del grupo terrorista Hamas, era la encargada del adoctrinamiento de niños hacia el terrorismo y coordinaba la represión a mujeres palestinas. https://t.co/YbpyYPKqjH",Neutral/None
"🇮🇱 Israel claims to just be fighting Hamas…
 

 🇮🇱 But they are blowing up civilian buildings &amp; targeting families. https://t.co/jCiqS4thIP",Neutral/None
"🇮🇱 Israel is now claiming that the “Hamas missile that blew up the Gaza Hospital” was fired from two separate locations.
 

 🇮🇱 It can’t be both, so which one is it?
 

 @Israel you are terrible at lying! We all know you did this. https://t.co/oz8i0mRK5c",Pro-Palestine
"Please don’t look away. 
 

 It’s easy to keep scrolling in the age of social media, but we ask that you keep reading and sharing the names and photos of Israelis taken hostage by Hamas. 
 

 We need to keep their stories alive so that we can bring them home.
 

 Every minute counts. https://t.co/Jr3cnHNub2",Neutral/None
Hamas supporters have stormed the Capital - this is an insurrection. Where is the FBI? Where is Christopher Wray? Where is the equal justice?,Pro-Palestine
"Jihad Mehisan, Hamas Security Commander. Eliminated. https://t.co/vdbbmIoCYN",Pro-Palestine
"🚨| ☪️: 😳ASÍ NOS ENGAÑAN LOS MEDIOS DE COMUNICACIÓN PALESTINOS PRO HAMÁS😐
 

 📽️Vídeo 1: Dos mujeres terroristas de Hamás agitando armas.
 

 📽️Video 2: Las mismas mujeres fingiendo ser víctimas de un bombardeo mientras vestidas de civiles ante las cámaras.
  https://t.co/ht0azbhqZj",Neutral/None
Thread. J’ai pu visiter l’immense morgue de fortune où s’entassent les centaines de corps des victimes de l’attaque du 7 octobre. Cette visite éclaire la nature de ce massacre. Comment négocier avec le Hamas après ça ?,Pro-Palestine
"💔
 

 The bodies of Erick Peretz and his daughter Ruth who has cerebral palsy, were found today. 
 

 They have been missing since the Nova music festival on October 7th. 
 

 They were brutally murdered by Hamas terrorists.
 

 May their memory be a blessing. https://t.co/FoYvsshAGe",Pro-Palestine
"Israeli girl cries ""help me"", moments before being shot dead by Hamas (ISIS) terrorists. https://t.co/87Fa77hYis",Neutral/None
"Ini yang kau nak kesian kan? Ini ke Israel yang kononnya tersakiti dek serangan Hamas? Refugee camp lah, sial. Refugee camp! Apa kaitan kem pelarian dengan Hamas? Ini memang sial paling sial! Sebab tu bangsa ini boleh bunuh para nabi macam tu je. 
 

 Sial! Faham tak? Sial!",Neutral/None
"Two 10 year olds are among the dead. 
 

 Hamas isn't in the West Bank, so whats the excuse?",Pro-Palestine
"israel zionist kata
 

 Hospital = tempat hamas bersembunyi dan sorokkan senjata. 
 Hamas = bom hospital.
 

 Hamas bunuh diri sendiri? 
 

 israel zionist punya cerita berbelit belit ni kalau nampak ular dengan israel zionist, katok israel zionist dulu.",Pro-Israel
"Dear Palestinians, 
 

 While the leaders of Hamas are living luxurious lives enjoying good lives, they ask you to sacrifice yourselves and your children.  
 Hamas doesn't care for the Palestinians. Hamas is the enemy of the Palestinian people.
 

 الى الفلسطينيين،
 في الوقت الذي به قادة… https://t.co/l30I0CDLcw",Pro-Palestine
"Kerajaan Malaysia tidak pernah mendefinisikan Hamas sebagai kumpulan militan mahupun pengganas TETAPI media Cina &amp; Inggeris di Malaysia pula mendefinisikan Hamas sebagai militan &amp; pengganas sebagaimana media barat!
 

 Media Cina &amp; Inggeris ini ikut undang-undang Malaysia atau… https://t.co/pdtjctaUBP",Pro-Palestine
"We cannot and will not let terrorists like Hamas and tyrants like Putin win.
 

 I refuse to let that happen. https://t.co/Ywjviuw3gF",Pro-Palestine
"Michigan Jewish synagogue president Samantha Woll found dead outside Detroit home with multiple stab wounds in @rashidatlaib’s district. 
 

 This is a hate crime. Likely Incited by Rashida’s calls for violence against Jews and her support for HAMAS. https://t.co/SlWK1lvRKH",Pro-Palestine
"Jamila al-Shanti, Hamas Legislative Councilwoman. Eliminated. https://t.co/AvjeqMZ9C0",Pro-Palestine
"🚨 JUST IN: SAUDI PRINCE CONDEMNS HAMAS FOR THE FIRST TIME SINCE WAR
 

 For the first time since the war broke out, a Saudi Prince has condemned not only Israel, but also Hamas, AND Western countries!
 

 This is a significant shift in tone, signaling increased support for Israel as… https://t.co/ylpdFijB73",Neutral/None
🚨| La evidencia derriba a Hamas. El cráter del cohete del hospital es ridículamente pequeño. Ninguno de los vehículos fue siquiera movido por la explosión. El hospital y sus alrededores no fueron destruidos. La propaganda terrorista engañó a sus fanáticos anti mundo libre. https://t.co/TAOWKVbQZ7,Pro-Palestine
Students at @BaruchCollege giggle and laugh as they give the middle finger to a screen showing the babies that Hamas terrorists took hostage https://t.co/ROEZ23gTiB,Pro-Palestine
"Evidence Hamas did it:
 Live footage of a rocket failing
 Contemporaneous Hamas audio
 Drone footage
 Footage from the site
 

 Evidence Israel did it:
 Well, a genocidal Jew-hating terrorist group did say it was the Jews",Neutral/None
"🇮🇱🇪🇸 | URGENTE: Manifestantes pro Hamas están intentando asaltar y quemar una Sinagoga en Melilla, España. Esto es terrorismo. Están persiguiendo personas por su religión. No son “pro Palestina”, esto es un brutal antisemitismo. https://t.co/g2PLXlSqR3",Pro-Palestine
"How embarrassing was that? 
 

 Joe Biden arrives in Israel, reads from a script, loses his thread and then calls brutal terrorists of Hamas ‘the other team’.",Neutral/None
"🛑 GAME OVER for the lying terrorists. 🛑
 

 Israel Defense Forces intercepted this audio conversation between Hamas and Islamic Jihad when they misfired the rocket. https://t.co/4iUQ4sYJQR",Neutral/None
"This beautiful Israeli family was burned alive by Hamas in their Kfar Aza home and are now fighting for their lives.
 

 On Oct 7, Ellay, Ariel, and their 18-month-old daughter Yael ran to the saferoom of their Aza home when they heard gunshots outside.
 

 They sent this text to their… https://t.co/RlsF8zvK1h",Neutral/None
🇩🇪 | La policía de Alemania ha comenzado a poner orden en las calles y está arrancando a detener a todos los manifestantes pro Hamas. La Ministra del Interior prometió esta mañana detener y deportar a todos los defensores del terrorismo. https://t.co/0zD3T040MI,Pro-Palestine
"Today, Ariel was the only person able to say Kaddish (the mourner’s prayer) during his family’s funeral. 
 

 His father Yaniv, mother Yasmin, his sisters Techelet and Keshet were murdered by Hamas terrorists.
 

 Ariel was out on a morning run when Hamas terrorists broke into his… https://t.co/OHAMH8odEa",Pro-Palestine
"""The last thing my dad said was 'I lost my arm' and then my mother died on top of me""
 

 Shlomi Mathias and his wife Shahar Debby were music teachers from Kibbutz Holit. When Hamas terrorists attacked them in their home, they sheltered their 16-year-old son, Rotem. He hid under… https://t.co/PPk1L5Sman",Pro-Palestine
"Hamas offered to hand over another two hostages, with no strings attached, and Israel said 'no'
 

 It's evident the Israelis couldn't care less. They will use anything as an excuse to bomb Gaza",Pro-Palestine
