Tweet,Sentiment,,,,,,
"BREAKING:

NBA legend Amare Stoudemire DESTROYS Black Lives Matter and announces he stands with Israel! https://t.co/0nxXxRpHXM",1,,,,,,
"Israel is the occupier. 

Palestine is the occupied.

No ifs, ands, or buts.",-1,,,,,,
"🇷🇺🇵🇸🇮🇱 #BREAKING: Russian Hacker Group Takes Down Israeli Government Website

Killnet’s statement:

“Government of Israel, you are to blame for this bloodshed.

Back in 2022, you supported the terrorist regime of Ukraine.

You betrayed Russia.

Today Killnet officially informs… https://t.co/tyQ6l7WZLL",-1,,,,,,
"🇮🇱 Netanyahu announces that Israel is starting a blockade of Gaza and will cut it off from all electricity, fuel and goods coming in from Israel

🇷🇺 To put this in perspective — even Putin still supplies gas and oil to Ukraine &amp; Europe. https://t.co/G10MKGZPiO",-1,,,,,,
"here's a thread of how israel has hurt palestine over the years, because some of you are very uneducated. 

palestine has been under attack for so long but suddenly you guys want to speak up and defend the attackers. 

TRIGGER WARNING ‼️ violence, death, b0mbs, beatings",-1,,,,,,
"As Israel begins its counteroffensive operations, there are likely going to be retaliatory attacks around the world by Hamas sympathizers in countries that support Israel

This means America will likely be hit, especially since Hamas operatives could’ve already crossed through…",1,,,,,,
"🚨BREAKING: RUSSIAN HACKER GROUP KILLNET HAS HACKED THE ISRAEL GOVERNMENT WEBSITE

The Russian hacker group Killnet has expressed support for Hamas and made the following statement about Israel:

""Israeli government, you are responsible for this bloodshed. Back in 2022, you… https://t.co/gh1QirBOMv",-1,,,,,,
"Israel is at war- meanwhile:

1. House is stalled until Republicans select Speaker candidate;

2. Senate is out this week;

3. No confirmed US ambassador to Israel; 

4. Ukraine aid package isn’t moving; 

5. Tuberville continues barricade 300+ military noms. 

Republicans must…",0,,,,,,
"NEW: Hamas spokesman Ghazi Hamad tells the BBC that the terror group had direct backing for the attack on Israel from Iran.

Three weeks ago, President Biden allowed for $6 billion in frozen funds to be delivered to Iran.

The Biden admin “stressed” that the money could only be… https://t.co/PT7WwuWomg",1,,,,,,
"Jamie Lee Curtis makes post in support of Israel with photo of Palestinian children, as specified by the photographer herself. https://t.co/6goUu2DCZ7",1,,,,,,
,,,,,,,
"🚨CRITICAL: How The Biden Administration FACILITATED &amp; FUNDED the Barbaric terror attacks on Israel:

- Shortly after Joe Biden took office, Secretary of State Antony Blinken announced that the administration would be resuming direct payments to the Terror Regime in Gaza.

-…",1,,,,,,
"We. Will. Never. Lose. Hope. 🇮🇱

https://t.co/qk2aAG4zQw",1,,,,,,
"They won't talk about the 33,000 innocent children Israel has killed since 2008. Free Palestine 🇵🇸",,,,,,,
"i got asked to do a thread of celebrities that support Palestine but today i only saw simihaze posting in support of Palestine and they’re Palestinian. is sad cause all their close friends are posting “i stand with israel” knowing simi, haze, fai, gigi and bella are Palestinian. https://t.co/z6fUIjjhdO",-1,,,,,,
"America stands with Israel ✊

#ALWAYS https://t.co/kM3e9S125s",1,,,,,,
"BREAKING: Republican 2024 presidential candidate Nikki Haley is humiliated on live national television as Meet the Press host Kristen Welker calls her out on a whopping lie about Pres. Biden and the attacks by Hammas against Israel. 

It all started when Welker asked Hailey if… https://t.co/CalHaZp33T",1,,,,,,
"Arab nations are standing with Hamas and against Israel in 2023, just like Arab nations were standing with Pakistan and against India in 1971.

This is a war of civilisations. There is no Jew or Hindu here; there is only believer and non-believer. Al Kufr Millatun Wahida. https://t.co/4ze0d688H7",-1,,,,,,
"While Palestinian fighters were given strict orders to respect churches and monasteries, Israel responded to the attacks by bombing a Mosque in Gaza. https://t.co/ob0TlKcY7X",-1,,,,,,
"She wasn't murdered, raped or abused. Footage showed her moments later safe in Gaza.

She was taken captive as a ""bargaining chip"" to free 1000s Palestinians whom Israel detains without charges, evidence or trial (aka administrative detention). Both violate int. law! https://t.co/rdR9bJoYTf",-1,,,,,,
"This is not just an attack on Israel—this was an attack on America.

Finish them, @Netanyahu.

They should have hell to pay for what they have just done. https://t.co/0KKDwvOITS",1,,,,,,
"Tamar, Yonatan and their children Shachar, Arbel, Omer. 

An entire family wiped out by Hamas terrorists. 

There are no words 💔

May their memory be a blessing. https://t.co/CoFeSJ9NPJ",1,,,,,,
"TRIGGER ALERT:

This mother and her two young children were kidnapped and taken hostage by Hamas. 

They are currently being held by Hamas terrorists. 

Their family asked to share their photos. 

Please help us amplify their request. https://t.co/CknaT5q0HK",1,,,,,,
The best way to satisfy everyone would be to dissolve Israel and establish a new Jewish homeland in Delhi.,-1,,,,,,
,,,,,,,
"The scenes we have seen in Israel over the last 36 hours are truly horrifying.

I spoke to Prime Minister @netanyahu earlier today to assure him of the UK’s steadfast support as Israel defends itself against these attacks.

Terrorism will not prevail. https://t.co/5EGoqiZM8b",1,,,,,,
if my kid Respected Israel i would have him tested for rabies,-1,,,,,,
"1. La lucha palestina nunca ha sido por reivindicar sus derechos.
Sólo ha sido por destruir a Israel.
Te voy a platicar ciertas verdades -hechos históricos objetivos- que a los propalestinos no les gusta enfrentar.
Pero las cosas, como son.
Agárrate.",,,,,,,
"Breaking News Israel: Spokesperson of Izzuddin Al-Qassam Brigades, Abu Obaidah:  

""We thank the Islamic Republic of Iran who provided us with weapons, money and other equipment! He gave us missiles to destroy Zionist fortresses, and helped us with standard anti-tank missiles!""… https://t.co/bP6rCGMHQ6",-1,,,,,,
"Cutting off energy to a civilian population is an explicit war crime. 

But I doubt many of the ""Israel has every right to defend itself"" will care much about that.",-1,,,,,,
"मारे और घायल हुए इज़रायलियों की संख्या बढ़ती ही जा रही है 😢।

इज़राइल अपने नागरिकों की रक्षा के लिए प्रतिबद्ध है| हमें अपनी प्रार्थनाओं में याद रखें। 🙏

#Israel #Israel_under_attack #IndiaStandsWithIsrael #IsraelAtWar https://t.co/gY1bipxhch",1,,,,,,
The Israel-Palestine story for beginners. https://t.co/PZW8v0gS9w,0,,,,,,
"11-year-old Tala Abu Daqqa is the sole surviving member of her family after Israel bombed their home in Gaza, killing all except her. https://t.co/MCPQSsWucq",-1,,,,,,
"Israel has been poisoning the water supply of Gaza for many years now and toxifying the soil, ensuring that it will soon become uninhabitable. For Palestinians breaking free is literally a question of life and death. They are being poisoned, as Norman Finkelstein says: https://t.co/e0Ud49lyZq",-1,,,,,,
obsessed with jamie lee curtis posting a photo of palestinian children in gaza being terrorized by israel as a way to show support for israel. y’all can’t even be wrong right,-1,,,,,,
"I was in Israel when the horrific attacks carried out by Hamas started on Saturday. My team and I are now safe, but like many we are shaken, angered, and heartbroken by the hundreds killed, the thousands injured, those taken hostage, and all who are directly affected by these… https://t.co/E4BgEZxSTC",1,,,,,,
We will never fail to have Israel’s back. https://t.co/3JM8d665iJ,1,,,,,,
,,,,,,,
"Hamas supporters in the West Bank celebrated what happened in Israel earlier today. Draw your attention to the weapons they’re carrying. Those are American weapons—M4s. 

Just what happened to the billions of dollars in arms Joe Biden left behind in the failed withdrawal of… https://t.co/ILTUr0iNOE",1,,,,,,
The vast majority of the people of Europe do not support the brutal Apartheid State of #Israel - The vast majority of the people of Europe support the people of #Palestine who have been Persecuted + Terrorised by Israel for so many years - If only the #EU was a real democracy...,-1,,,,,,
"Thousands of Germans gather in Berlin to show solidarity with Israel.

They sang the national anthem of Israel. This makes me emotional. THANK YOU. 🇩🇪🇮🇱 #Israel https://t.co/C7J1MdkxfW",1,,,,,,
"🇵🇸🇮🇱 Andrew Tate’s Political View On Palestine - Israel

“I do find it extremely suspicious that the most feared intelligence agency on earth didn’t manage to detect an invasion.” https://t.co/3IK937gBuC",-1,,,,,,
"JUST IN - Israel's cabinet invokes Article 40 Aleph, officially declaring war for the first time since the Yom Kippur War in 1973.",-1,,,,,,
"⭕️ นาทีที่ผู้โดยสารลงเครื่องที่สนามบิน Ben Gurion ,Tel Aviv อิสราเอล แล้วเกิดการโจมตี ทางอากาศทำให้ต้องหมอบกลางลานจอดแบบนี้

❌American Airlines, Air France, Lufthansa, Emirates, Ryanair,Aegean Airlinesฯลฯยกเลิกเที่ยวบินไปอิสราเอลแล้ว #อิสราเอล  #israel 

 https://t.co/khDUyfe5kp",,,,,,,
".@efenigson:

“I served in the IDF 25 years ago in the intelligence forces.. there’s no way, in my view, that Israel did not know what’s coming…Something is very wrong here”

https://t.co/iewZWnU66n",-1,,,,,,
"Imagine if you and your family had to go through this…

This is the reality for Israelis right now. #Israel #Gaza https://t.co/Q5FXDxvygG",1,,,,,,
,,,,,,,
"Ilhan Omar, AOC, Cori Bush, Rashida Tlaib and the entire SQUAD should be expelled from Congress for their hateful rhetoric towards Israel.",1,,,,,,
"Siendo las 22:58 del 7/10/23 se consigna y se registra que de las dos potenciales candidatas a la presidencia de México, sólo una ha publicado su posicionamiento sobre los ataques de la organización terrorista Hamas al pueblo de Israel. https://t.co/rTCj31YVPW",,,,,,,
"🚨| This is a thread about whats been happening or going on in Palestine or to Palestinian that the media trying to silence them about. Israel is NOT the victim. From the river to the sea, Palestine shall be free 🇵🇸",-1,,,,,,
"This morning, I spoke with @IsraeliPM to express my full support for the people of Israel in the face of an unprecedented and appalling assault by Hamas terrorists.

We will remain in close contact over the coming days. 

The U.S. will continue to stand with the people of Israel.",1,,,,,,
"Israeli children kidnapped and kept in cages by Hamas.
This is barbaric but what do you expect from savages.

#Israel #Hamas #Palestine #Palestinian #IronDome #Gaza #TelAviv https://t.co/9WznUKa5lA",1,,,,,,
"We need to work with Israel to track serial numbers on any U.S. weapons used by Hamas against Israel.

Did they come from Afghanistan?

Did they come from Ukraine?

Highly likely the answer is both.",1,,,,,,
"Rashida Tlaib, the only Palestinian member of Congress, comes out with the best statement, and is now being targeted by far right conservative cretins as well as liberals for simply daring to state the truth about Israel's genocidal occupation of Palestine https://t.co/tHnLLemmeh",-1,,,,,,
,,,,,,,
"Hamas started a war against Israel with the worst massacre of innocent civilians in Israel’s history.

We paid a heavy price; but we will restore security to the people of Israel.

Full statement from @IDFspokesperson: https://t.co/ZzIZuaqvsP",1,,,,,,
"If Hamas stopped fighting, there would be peace. 

If Israel stopped fighting, it would cease to exist.",1,,,,,,
"What happened to Israel could happen to America.

We have been invaded by aliens from over 160 different countries.

We don’t know who they are or where they are. There are so many got-aways the Biden admin can’t even keep up with them.

This should be a wake up call. https://t.co/b13AWAouUI",1,,,,,,
"This is Shani.

She was from Germany and was attending a festival in Israel when Hamas terrorists kidnapped and murdered her.

They then paraded her naked body on the back of a pickup truck around Gaza as people spat on and beat her.

Never forget. https://t.co/GIv1kUT6lv",1,,,,,,
"HOLY SHLIT

Hamas paradropped right into an ongoing rave in Israel

They had no idea what was coming https://t.co/dl78zDkRIM",1,,,,,,
,,,,,,,
,,,,,,,
"Yesterday, Israel faced a dastardly terror attack, just like Mumbai was targeted on 26/11/2008. Israel has declared war and their military has struck back. What did India, under a weak kneed Congress, do?

Nothing. It sent dossiers. Infact senior Congress leaders tried to blame… https://t.co/Vj5bI6E8oA",1,,,,,,
"The Palestinian view from the West Bank: my conversation with Palestinian activist and legislator @MustafaBarghoti, who is not connected to Hamas, about the terrorist group’s offensive in southern Israel https://t.co/LYsAI5bFfa",1,,,,,,
"All dead. Butchered by Hamas terrorists in Kibbutz Nir Oz, Israel for being Jewish.

The entire family, Tamar, Yonatan, their 6-year-old daughters - Shahar &amp; Arbel, and their 4-year-old son Omer. 

Remember their faces. https://t.co/OBzcxDmiv3",1,,,,,,
"Reminder that Republicans, at this moment, are holding up the appointment of 300 senior Pentagon officials and the next Ambassador to Israel.

We also lack a Republican Speaker of the House to pass additional support for Israel.

All of these things might be useful right now.",1,,,,,,
"With our soul and blood, we redeem you, O Al-Aqsa, May Allah protect Al-Aqsa. Aamiin

#Gaza #Hamas #Israel #Palestinian #طوفان_الأقصى https://t.co/WTXmWUJizf",-1,,,,,,
,,,,,,,
"Hamas uses the EXACT lanugage as BLM. Watch closely—they are funded by some of the same groups, they have many of the same complaint—they even protest together.

What Hamas did to Israel is being watched closely by BLM race arsonists in America.

Playing into victim narratives…",1,,,,,,
"This BBC reporter from Gaza is telling the *truth*. Israeli forces warn civilians to vacate areas they are about to hit, to save innocent lives. That is the difference between democratic Israel and the butchery of Hamas. All people of conscience know instinctively which is right. https://t.co/IHLLSAK0bU",1,,,,,,
��BREAKING: The US military moves an aircraft carrier near Israel to show Washington's support. https://t.co/XepMBU2Oyx,1,,,,,,
��BREAKING: Israeli PM Netanyahu says security cabinet has approved decisions to “bring about the destruction of the military and governmental capabilities of Hamas and Islamic Jihad in a way that will negate their ability and desire to threaten and harm the citizens of Israel…,1,,,,,,
"Today the following brave police officers gave their lives to protect the citizens of Israel. May their memories forever be a blessing. 

Names have been transliterated from Hebrew, forgive me if some of the English spellings are off. 

Martin Kozmitzkas z""l
Alik Posniakov z""l… https://t.co/QK2DXhJ8eh",1,,,,,,
"No Leader from I.N.D.I. Alliance has condemned Hamas terrorist attacks on Israel. 

Whereas PM Modi was first to condemn the Hamas attack on innocent Israeli citizens. 

Choose your leader wisely 🙏",-1,,,,,,
"Hamas supporters in Canada are celebrating Terrorist Attack on Israel!

India rightly said, Canada is becoming a safe haven of terrorists! https://t.co/n6EghyU4LK",1,,,,,,
"हम सभी भारतीयों को उनके अटूट समर्थन के लिए धन्यवाद देते हैं| 🇮🇱🙏🇮🇳

#Israel #Israel_under_attack #IsraelUnderAttack #ऑपरेशन_स्वॉर्ड #इजराइल #IndiaStandsWithIsrael 
@AskAnshul @Iyervval @MeghUpdates @AsYouNotWish @erbmjha https://t.co/vzv8O2OLMa",1,,,,,,
"“We know israel is going to kill us anyways. We are starving, we are being besieged, we are being dispossessed, we are being displaced. We know all of this. Israel is going to kill us anyways. Israel wants us kneeling… So why not fight back and die in dignity?”",-1,,,,,,
,,,,,,,
,,,,,,,
“Black lives matter” and “i stand with israel” are two things that can’t coexist. and no it isn’t that complicated. give them people they damn land back,-1,,,,,,
,,,,,,,
"I don’t stand with Israel.
I don’t stand with Hamas.
I don’t stand with Ukraine.
I don’t stand with Russia.

I don’t pick sides because I don’t stand with governments or ruling militias— period.

I stand with the innocent men, women, and children who are harmed by what…",0,,,,,,
"My prediction is that in this attack on Israel, you will find weapons that were not only surrendered in Afghanistan, but also weapons that were given to Ukraine, involved in the slaughter.

And no one - not even those most intelligent pundit of pundits - will be able to piece…",1,,,,,,
"Malaysia passport holder is valid for all countries except Israel. 

Any malaysian citizen who supports Israel should give up his nationality and leave this country.  

Thanks in advance.",-1,,,,,,
Hamas literally murdered and then kidnapped kids and elderly out of their homes and US congressional Democrats released statements demanding Israel de-escalate. I've never seen this. Ever.,1,,,,,,
"Imagine what our intel agencies could have done to prevent an act of war against our ally Israel if they spent their time spying on our enemies like Iran instead of spying on Catholic churches, tagging school board parents as terrorists, and jailing their political opposition.",1,,,,,,
"After observing the horrific crimes against innocent people in Israel by Hamas, pro-Palestine protesters take over the streets in New York City.

To recap: Hamas terrorists paraglided into a music festival, murdered innocent men and women at the festival (reports say 250+) and… https://t.co/iTryTbBRnA",1,,,,,,
"13 more Hours left for Palestinian Women &amp; Children to evacuate Gaza before it is leveled and turned into a parking lot for the world to see. This will be an important lesson for jihadists and Jew haters about why you should never attack Israel with rockets and violence. 

Tick…",1,,,,,,
"Rockets are raining down on Israeli towns right now. 

We need to immediately help replenish Israel’s stockpile of Iron Dome missiles to protect more innocent civilians from getting killed.
 
Let’s make sure Congress can unite and assure Israel has what it needs to destroy Hamas.",1,,,,,,
,,,,,,,
"The road in Re'im, Israel. A music festival was held there. Hamas terrorists encircled it and opened fire on civilians.

Media report that Hamas shot people, loaded wounded on pickup trucks and took them to Gaza. They killed heavily wounded and chased after those who tried to run… https://t.co/bkiU0GVfuw",1,,,,,,
,,,,,,,
,,,,,,,
"The rallies in Tampa and Ft. Lauderdale supporting Hamas are abhorrent.

Hamas is a terrorist group that is dedicated to the destruction of Israel and commits atrocities to further that end.

We are proud of the relationship between Florida and Israel and remember well the…",1,,,,,,
"NEW: 23 year old American citizen Hersh Golberg-Polin is missing after sending his parents a chilling message as Hamas terrorists paraglided into the desert rave in southern Israel.

His parents are fearing the worst.

In a text message to his mom and dad, Golberg-Polin wrote: “I… https://t.co/2QcbnwRVnp",1,,,,,,
"Our hearts our broken 💔. 

We are experiencing some of our darkest days.

Nevertheless, we will prevail. 

We always do 🇮🇱",1,,,,,,
Israeli Police preventing a Lynch Mob from Killing a Hamas Terrorist who was Arrested earlier today in Southern Israel. https://t.co/m4jUunmqnT,1,,,,,,
"“I woke up this morning with some disturbing news out of Israel that Hamas [are] kidnapping children, putting them in cages, killing women, killing the elderly. That’s some coward s**t. That’s cowardly. And for all y’all Black Live Matter [supporters] who ain’t saying nothing,… https://t.co/sQ9DBMow5J",1,,,,,,
"You are about to withstand a barrage of lies about the war that broke out today in Israel.

Some of those lies will be explicit. Some of them will be lies of omission. Others will be lies of obfuscation. Or lies of minimization. Lies told by people who are simply too afraid to…",1,,,,,,
"Thanks to a near-broken confirmation process, the US does not have a U.S. Ambassador in:
- Israel
- Egypt
- Lebanon
- Oman
- Kuwait
- No confirmed top USAID official for the Middle East for nearly 3 years
-No State Department Coordinator for Counterterrorism for nearly 2 years",0,,,,,,
"This is an offensive gesture by the British prime minister who is siding with the brutal Israeli apartheid regime. Israel has oppressed and terrorised the Palestinian people for 75 years.

The Palestinian people have risen up to liberate their homeland from Zionist occupation.",-1,,,,,,
"This is from Canada.

Hamas supporters celebrating the terrorist attack on Israel.

Atleast 200 Israelis killed in attacks by Hamas terrorists. https://t.co/8xPpbrGhkQ",1,,,,,,
"A compilation of Hamas clips shows how the terror group invaded southern Israel yesterday. First they bombed Israeli observation towers and weapons systems on the border, then fired hundreds of rockets as terrorists on paragliders flew over the border. Moments later, Hamas… https://t.co/D4iIoCV51q",1,,,,,,
Breaking: Iran helped plan Hamas’s attack on Israel and gave the green light for the assault at a meeting last Monday https://t.co/7U1fUb3gXI https://t.co/WIu1VBLtzd,1,,,,,,
,,,,,,,
"Reaction to the #Israel terror attack from #Iran:

Islamic Republic supporters tried to support Hamas by bringing Palestinian flags to a soccer match.

Iranian fans across the stadium chanted: “Take that Palestinian flag and shove it up your a**!”

#IraniansStandWithIsrael https://t.co/bHFkpJ4jUi",1,,,,,,
,,,,,,,
,,,,,,,
"Ingat lagi video ni dulu ?.. 

Haa sapa yang dah lupa, tengok balik dan ingat sampai mati. 

Tengok kezaliman dan kekejaman Israel !",,,,,,,
"Reality of Hamas terrorism.

Hamas terrorists use civilian residential  buildings, schools, hospitals and even mosques to launch rocket attacks on Israel.

And, when Israel retaliates against terror attacks, they play victim card https://t.co/KdmJo1NAZ0",1,,,,,,
"Reminder how Israel was founded, along with its ""moral"" army:",0,,,,,,
".@MustafaBarghou1 
on @CNN just asked the key question behind US’ moral relativism: Why is the US supporting Ukraine fighting against Russia’s occupation…yet supports Israel’s occupation/ethnic subjugation of Palestinians for the last 57 years?
https://t.co/1y2STarhbQ",-1,,,,,,
"Yes @jamieleecurtis, this is truly barbaric. 

It’s a picture of Palestinians in Gaza being bombed from the sky by Israel. Nice propaganda that you refuse to delete even after being called out. https://t.co/rYXgvfD2nx",-1,,,,,,
,,,,,,,
"Why did Joe Biden send $75 million in aid to Palestine right before the attacks on Israel? 

Was this a setup? https://t.co/5W3SLznzKu",0,,,,,,
"Apa yang Israel alami sejak beberapa jam yang lalu, telah dialami oleh penduduk Palestin sejak 75 tahun yang lalu.

Semenjak Nakba 1948, rakyat Palestin kehilangan tanah mereka, rumah dirobohkan, bandar yang diduduki, dan kebebasan dirampas oleh penjajah Israel. Hak asasi rakyat… https://t.co/OJRg5sLqDp",,,,,,,
"Overnight in the Toronto-area, groups of revelers gathered to celebrate the Hamas Islamist attack in southern Israel where civilians, police and military were executed. An unknown number of people, many of them women, were kidnapped &amp; taken into Gaza. https://t.co/c40OZdUx8O",1,,,,,,
"Afghanistan.

Ukraine.

And now Israel.

Every single foreign policy moment during Joe Biden’s tenure has been a failure.

The world cannot handle more of this.

Voting Trump 2024 isn’t a matter of just saving America, it’s about saving the world from blowing itself up.",0,,,,,,
"Rumor is House Democrats are going to refuse to separate aid money to Israel and aid money to Ukraine to ensure Ukraine gets funded.

A total disgrace. Vote on it separately. Two separate countries!",0,,,,,,
"Israel barbarism on full display in Khan Yunis, Gaza. 

Al Amin Muhammad Mosque was bombed by Israeli occupation forces yesterday.
 https://t.co/P2glU1FM6N",-1,,,,,,
"Unbelievable.

Sen. Tommy Tuberville is refusing to lift the blockade of military nominations even in the face of the war in Israel.

Senate Armed Services Chair Jack Reed slammed the former football coach: ""The United States needs seamless military leadership in place to handle… https://t.co/jM4lP7s4QT",0,,,,,,
"Regarding Hamas’s terrorists attacks on Israel you’ve probably heard the following a lot from the Right.

“This wouldn’t have happened if Trump was in office!”

Is this true? Or just a nice platitude for Republicans? 

Let’s take a look.

The Biden administration restarted…",0,,,,,,
"10 out of 17 Nepali Hindus abducted from Israel have been Killed by Hamas, 3 escaped after getting injured https://t.co/upAfv8N80Z",1,,,,,,
,,,,,,,
"Hearing that Dems are working with RINO GOP Leadership to tie any new aid to Israel to more Ukraine funding.

Instead of just helping Israel after these barbaric attacks, they’re going to try to use this tragedy to light billions more on fire in Ukraine. These people are sick!!!",1,,,,,,
,,,,,,,
"You won't find a single tweet from these YouTubers condemning the terrorists attack against Israel. 

Reason: More than 50% of their subscribers come from the Muslim community. If they say anything against Hamas terrorists, they may lose many subscribers. https://t.co/PVWUuy7JWP",1,,,,,,
"In 36 hours, Israel destroyed:
1210 homes (partially &amp; completely)
13 residential &amp; high-rise buildings
3 UN schools (partially)
3 mosques

74,000 people internally displaced

Over 413 people killed, including 79 children &amp; 8 entire families

Electricity down to ≈3 hours a day.. https://t.co/18BEruiOeT",-1,,,,,,
"Who was saying that Israeli Armed forces dont kidnap innocents?Here is a clip of IDF kidnapping children &amp; arresting them for picking flowers in occupied Palestine.Where was the Western media at that time?
#Israel #Gaza #FreePalestine #Palestine #Hamas #طوفان_القدس #حماس #فلسطين https://t.co/7xetvCcYXd",-1,,,,,,
"Toronto, Canada - Palestinian supporters waive their flags in support of Hamas terrorists who butchered, raped and kidnapped Jews across Israel.
https://t.co/vwbNEfM114",1,,,,,,
her wife is literally older than israel,0,,,,,,
"Here is a statement from Amnesty International:

“The root causes of these repeated cycles of violence must be addressed as a matter of urgency. This requires upholding international law and ending Israel’s 16-year-long illegal blockade on Gaza, and all other aspects of Israel’s…",-1,,,,,,
War in Israel–last 30 hours. https://t.co/EdCarXTqg0,0,,,,,,
"Biden’s weakness invited the attack.

Biden’s negotiation funded the attack.

Biden admin wanted Israel to stand down after the attack.

At this point, Biden is complicit.",0,,,,,,
I respected you when you showed up to help feeding fellow citizens in the middle of the pandemic. I respected your politics even when I didn’t agree with you. But is shameful that you blame @POTUS for an attack on Israel! Did you blamed Bush for 9/11? Be a statesman! Be a good…,1,,,,,,
"Hamas and Hezbollah now reporting that Iran helped plan the Hamas terror attacks for weeks.

Who opened the floodgates and supplied Iran to the tune of $100+ billion? Obama. Biden. Valerie Jarrett. The Iran Deal.

This situation is far beyond just Israel and Palestine. https://t.co/dTNv5ZavGp",1,,,,,,
